# file...... 1Meter_632_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_B_24:measured_power,house_meter_632_B_25:measured_power,house_meter_632_B_26:measured_power,house_meter_632_B_27:measured_power,house_meter_632_B_28:measured_power,house_meter_632_B_29:measured_power,house_meter_632_B_30:measured_power,house_meter_632_B_31:measured_power,house_meter_632_B_32:measured_power,house_meter_632_B_33:measured_power,house_meter_632_B_34:measured_power,house_meter_632_B_35:measured_power,house_meter_632_B_36:measured_power,house_meter_632_B_37:measured_power,house_meter_632_B_38:measured_power,house_meter_632_B_39:measured_power,house_meter_632_B_40:measured_power
2021-01-06 00:00:00 UTC,+1080.23+0.00495645d,+2401.15+0.011039d,+2721.44+0.0121507d,+2761.48+0.0123349d,+1800.65+0.00827627d,+1800.62+0.0079166d,+1600.49+0.0069972d,+1560.49+0.00717173d,+1520.46+0.00698767d,+600.072+0.00275062d,+560.063+0.00256719d,+720.104+0.00330099d,+160.005+0.000733306d,+240.011+0.00110001d,+680.092+0.00311752d,+240.011+0.00110001d,+640.082+0.00293407d
2021-01-06 00:15:00 UTC,+1120.25+0.00515679d,+2241.01+0.0103375d,+2721.49+0.0125564d,+2721.49+0.0125564d,+2681.4+0.0120076d,+1680.57+0.00775053d,+1560.49+0.0071964d,+1520.46+0.00701171d,+1560.49+0.0071964d,+600.072+0.0027607d,+2080.87+0.00957895d,+720.104+0.00331308d,+200.008+0.000920015d,+160.005+0.000735995d,+680.093+0.00312894d,+480.046+0.0022084d,+720.104+0.00331308d
2021-01-06 00:30:00 UTC,+920.17+0.00423387d,+2000.77+0.00885945d,+2801.58+0.0129155d,+2200.97+0.0101442d,+2200.97+0.0101442d,+1800.65+0.00829783d,+1720.59+0.00792865d,+1560.49+0.00719041d,+1560.49+0.00719041d,+600.063+0.00241473d,+600.072+0.00275795d,+720.104+0.00330978d,+160.005+0.000735259d,+200.008+0.000919096d,+680.093+0.00312583d,+240.012+0.00110294d,+680.093+0.00312583d
2021-01-06 00:45:00 UTC,+880.155+0.00404329d,+2281.04+0.0105054d,+4403.82+0.0199338d,+2080.84+0.00922122d,+2401.16+0.0110591d,+1720.59+0.00792244d,+1840.68+0.00847578d,+1600.49+0.00700993d,+1720.59+0.00792244d,+680.092+0.00312241d,+920.169+0.00422504d,+640.082+0.00293866d,+200.008+0.00091809d,+240.012+0.00110173d,+680.092+0.00312241d,+320.02+0.00146905d,+680.092+0.00312241d
2021-01-06 01:00:00 UTC,+800.128+0.00367182d,+2000.8+0.00920399d,+4243.61+0.0195388d,+2080.87+0.00957262d,+2000.8+0.00920399d,+1640.51+0.00718653d,+1800.62+0.00792266d,+1280.33+0.005888d,+1800.65+0.0082826d,+560.063+0.00256886d,+680.092+0.00311956d,+720.104+0.00330314d,+120.003+0.000550323d,+160.005+0.000733783d,+680.092+0.00311956d,+320.02+0.00146771d,+680.092+0.00311956d
2021-01-06 01:15:00 UTC,+880.155+0.00403142d,+2160.93+0.009921d,+3202.05+0.014707d,+2000.8+0.00918523d,+1920.71+0.00845765d,+2120.9+0.00973705d,+1720.59+0.00789797d,+1480.44+0.00679495d,+1680.56+0.00771411d,+600.072+0.00274864d,+680.092+0.00311527d,+2241+0.0102717d,+120.003+0.000549569d,+200.008+0.000915993d,+640.082+0.00293195d,+240.011+0.00109922d,+2281.04+0.0104553d
2021-01-06 01:30:00 UTC,+880.155+0.00404417d,+1920.71+0.00848345d,+2561.28+0.011434d,+2080.87+0.00958224d,+1920.74+0.00884429d,+1800.65+0.00829093d,+1680.57+0.00773764d,+1320.35+0.00607825d,+1840.68+0.00847537d,+720.093+0.00296073d,+600.072+0.00275634d,+960.184+0.0044111d,+240.012+0.0011023d,+200.008+0.000918562d,+680.093+0.00312401d,+440.039+0.00202113d,+680.093+0.00312401d
2021-01-06 01:45:00 UTC,+760.116+0.00349362d,+1680.57+0.00773757d,+2481.24+0.0114276d,+1640.51+0.0071937d,+1800.65+0.00829086d,+1800.65+0.00829086d,+1480.44+0.00681561d,+1320.33+0.00572099d,+1640.54+0.00755316d,+640.082+0.00294034d,+520.054+0.00238885d,+600.072+0.0027565d,+80.0013+0.000367419d,+240.012+0.00110236d,+680.093+0.00312419d,+200.008+0.000918614d,+640.082+0.00294034d
2021-01-06 02:00:00 UTC,+880.155+0.0040478d,+1360.37+0.00626654d,+2561.32+0.0118044d,+1720.59+0.00792706d,+1880.71+0.00866529d,+1720.57+0.00756692d,+1640.51+0.0071983d,+1280.33+0.00589764d,+1480.44+0.00681997d,+600.072+0.00275824d,+560.063+0.0025743d,+320.021+0.00147082d,+160.005+0.000735337d,+320.021+0.00147082d,+440.039+0.00202252d,+240.012+0.00110306d,+720.104+0.00331013d
2021-01-06 02:15:00 UTC,+760.116+0.00349244d,+1040.22+0.00478649d,+2761.49+0.0123526d,+1560.49+0.00718199d,+1840.65+0.00811213d,+1680.57+0.00773501d,+1520.46+0.00699767d,+1680.57+0.00773501d,+1280.33+0.00589192d,+680.082+0.0027784d,+600.072+0.00275665d,+280.016+0.00128619d,+200.008+0.000918661d,+2000.8+0.00919656d,+320.02+0.00146996d,+480.046+0.00220516d,+680.093+0.00312435d
2021-01-06 02:30:00 UTC,+880.155+0.00403867d,+640.072+0.00259571d,+2521.27+0.0115905d,+1640.54+0.007539d,+1800.65+0.00827531d,+1800.65+0.00827531d,+960.184+0.00441127d,+1600.51+0.00735495d,+960.184+0.00441127d,+680.092+0.003119d,+480.046+0.00220138d,+240.012+0.00110053d,+160.005+0.000733652d,+200.008+0.000917087d,+240.012+0.00110053d,+160.005+0.000733652d,+680.092+0.003119d
2021-01-06 02:45:00 UTC,+800.128+0.00366941d,+840.141+0.00385668d,+2441.19+0.0112135d,+1680.54+0.0073585d,+1880.71+0.00863701d,+1560.49+0.0071655d,+880.155+0.00404043d,+1520.44+0.00662381d,+880.155+0.00404043d,+640.082+0.00293514d,+3441.8+0.0120075d,+160.005+0.000733573d,+240.012+0.00110041d,+360.026+0.00165074d,+240.012+0.00110041d,+240.012+0.00110041d,+840.141+0.00385283d
2021-01-06 03:00:00 UTC,+920.169+0.00421942d,+640.082+0.0029379d,+2200.93+0.00974759d,+1240.31+0.00569423d,+1800.65+0.0082686d,+1840.65+0.00809303d,+880.141+0.00368959d,+1400.39+0.00642959d,+1040.22+0.00477523d,+2241+0.0102881d,+4322.95+0.0156586d,+160.005+0.000733951d,+280.016+0.00128451d,+280.016+0.00128451d,+320.02+0.00146804d,+440.039+0.0020187d,+640.082+0.00293665d
2021-01-06 03:15:00 UTC,+760.115+0.00348854d,+880.142+0.00369313d,+2160.94+0.00993398d,+1320.35+0.0060677d,+1880.68+0.00828475d,+1760.62+0.00809241d,+760.116+0.00349235d,+1400.39+0.00643575d,+840.141+0.00386015d,+560.054+0.00222984d,+4122.42+0.0134863d,+200.008+0.000917975d,+120.003+0.000550759d,+200.008+0.000917975d,+320.02+0.00146886d,+280.016+0.00128523d,+640.082+0.00293829d
2021-01-06 03:30:00 UTC,+880.155+0.00404016d,+640.082+0.00294079d,+2481.23+0.0114082d,+1000.2+0.00459598d,+1800.65+0.00827674d,+1520.46+0.00698807d,+720.104+0.00330855d,+1400.39+0.00643592d,+1000.2+0.00459598d,+120.003+0.000550605d,+2080.48+0.00534921d,+200.008+0.000917718d,+200.008+0.000917718d,+440.039+0.00201927d,+240.012+0.00110129d,+280.016+0.00128487d,+760.115+0.0034885d
2021-01-06 03:45:00 UTC,+880.155+0.00403879d,+840.141+0.00385922d,+2160.93+0.00993158d,+1360.35+0.00589336d,+1800.65+0.00827452d,+1120.25+0.00514649d,+760.116+0.0034915d,+1280.31+0.00552611d,+920.169+0.00422696d,+120.003+0.000550302d,+920.131+0.00326346d,+160.005+0.000733754d,+200.008+0.000917215d,+160.005+0.000733754d,+280.016+0.00128416d,+360.026+0.00165115d,+240.012+0.00110068d
2021-01-06 04:00:00 UTC,+720.103+0.00329855d,+640.082+0.00293392d,+1680.54+0.0073481d,+1080.23+0.00495229d,+1760.62+0.0080737d,+760.104+0.00313681d,+920.155+0.00386736d,+1080.23+0.00495229d,+680.092+0.00311736d,+160.005+0.000732464d,+840.128+0.00349807d,+160.005+0.000732464d,+240.011+0.00109875d,+200.008+0.000915603d,+440.039+0.00201462d,+240.011+0.00109875d,+240.011+0.00109875d
