# file...... 1Meter_633_C_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_C_20:measured_power.real,house_meter_633_C_21:measured_power.real,house_meter_633_C_22:measured_power.real,house_meter_633_C_23:measured_power.real,house_meter_633_C_24:measured_power.real,house_meter_633_C_25:measured_power.real,house_meter_633_C_26:measured_power.real,house_meter_633_C_27:measured_power.real,house_meter_633_C_28:measured_power.real,house_meter_633_C_29:measured_power.real,house_meter_633_C_30:measured_power.real,house_meter_633_C_31:measured_power.real,house_meter_633_C_32:measured_power.real,house_meter_633_C_33:measured_power.real,house_meter_633_C_34:measured_power.real,house_meter_633_C_35:measured_power.real,house_meter_633_C_36:measured_power.real,house_meter_633_C_37:measured_power.real,house_meter_633_C_38:measured_power.real,house_meter_633_C_39:measured_power.real,house_meter_633_C_40:measured_power.real
2021-01-06 00:00:00 UTC,2.7215e+03,2.8016e+03,1.2003e+03,2.8016e+03,2.7616e+03,8.8016e+02,3.1621e+03,2.8016e+03,2.8817e+03,1.8407e+03,3.1621e+03,5.5664e+03,1.6005e+03,2.4012e+03,2.1610e+03,2.0809e+03,2.0809e+03,5.1655e+03,2.5614e+03,2.3211e+03,2.0008e+03
2021-01-06 00:15:00 UTC,2.6815e+03,4.0434e+03,7.6012e+02,4.0434e+03,4.0434e+03,3.2002e+02,4.1235e+03,4.0033e+03,4.1235e+03,1.8007e+03,1.8007e+03,2.6414e+03,1.5605e+03,6.0074e+03,2.3211e+03,1.9208e+03,1.8407e+03,1.7206e+03,5.6867e+03,1.9608e+03,5.5263e+03
2021-01-06 00:30:00 UTC,2.8002e+02,3.6027e+03,8.0013e+02,4.0834e+03,4.0834e+03,3.2002e+02,2.5213e+03,4.0434e+03,4.0033e+03,1.6806e+03,2.0409e+03,2.4813e+03,1.8807e+03,2.8417e+03,2.0409e+03,5.2857e+03,6.1277e+03,1.8807e+03,1.4004e+03,1.8807e+03,2.1610e+03
2021-01-06 00:45:00 UTC,3.6003e+02,2.4001e+02,7.6012e+02,4.0434e+03,4.0033e+03,3.2002e+02,2.8002e+02,2.6414e+03,4.0033e+03,1.5605e+03,1.7206e+03,1.8007e+03,1.4004e+03,1.8807e+03,5.3258e+03,3.9232e+03,4.7246e+03,2.1610e+03,2.0809e+03,1.9608e+03,1.6806e+03
2021-01-06 01:00:00 UTC,4.4004e+02,2.8002e+02,7.6012e+02,4.0033e+03,4.0834e+03,2.8002e+02,4.0003e+02,3.2002e+02,4.0434e+03,3.5225e+03,4.5643e+03,2.6815e+03,3.0018e+03,1.8807e+03,3.0019e+03,2.1209e+03,1.5205e+03,1.6806e+03,1.8407e+03,6.7694e+03,1.9608e+03
2021-01-06 01:15:00 UTC,3.6003e+02,3.6003e+02,4.0003e+02,4.0434e+03,4.0434e+03,2.8002e+02,3.2002e+02,3.2002e+02,4.2036e+03,4.8448e+03,2.7616e+03,6.7694e+03,2.3611e+03,2.2811e+03,2.0809e+03,2.0008e+03,2.2410e+03,2.2410e+03,1.7206e+03,2.0008e+03,1.9608e+03
2021-01-06 01:30:00 UTC,2.8002e+02,3.2002e+02,2.8002e+02,4.0033e+03,4.0033e+03,2.8002e+02,2.4001e+02,2.4001e+02,4.0834e+03,4.4421e+03,1.6806e+03,4.4821e+03,4.9651e+03,1.6005e+03,2.3211e+03,1.8407e+03,1.8007e+03,1.7206e+03,2.0008e+03,1.8007e+03,1.9608e+03
2021-01-06 01:45:00 UTC,2.4001e+02,2.8002e+02,4.4004e+02,4.0434e+03,4.0434e+03,3.6003e+02,2.4001e+02,2.8002e+02,3.9632e+03,5.6438e+03,2.0809e+03,6.6848e+03,3.3223e+03,1.9608e+03,1.7606e+03,2.2410e+03,2.1209e+03,7.1706e+03,1.9208e+03,2.3211e+03,1.9208e+03
2021-01-06 02:00:00 UTC,3.2002e+02,2.4001e+02,3.2002e+02,4.0434e+03,1.6406e+03,2.8002e+02,2.8002e+02,3.6003e+02,4.0033e+03,5.4035e+03,2.0409e+03,6.2443e+03,1.8807e+03,3.3223e+03,2.0409e+03,1.4004e+03,1.8407e+03,1.7206e+03,6.1277e+03,1.8807e+03,2.1209e+03
2021-01-06 02:15:00 UTC,3.6003e+02,2.4001e+02,2.8002e+02,2.5613e+03,3.2002e+02,3.2002e+02,3.2002e+02,3.2002e+02,4.0834e+03,5.1630e+03,4.4040e+03,5.0426e+03,1.6005e+03,4.7246e+03,1.8807e+03,3.2021e+03,2.1610e+03,2.1610e+03,2.0008e+03,2.1209e+03,2.0008e+03
2021-01-06 02:30:00 UTC,4.0003e+02,4.4004e+02,2.8002e+02,3.2002e+02,2.4001e+02,2.4001e+02,4.0003e+02,2.4001e+02,4.4004e+02,3.1210e+03,3.0018e+03,9.2508e+03,1.6005e+03,1.8407e+03,4.0834e+03,6.9700e+03,6.4084e+03,2.0809e+03,2.0409e+03,2.2010e+03,2.0809e+03
2021-01-06 02:45:00 UTC,2.8002e+02,3.2002e+02,2.4001e+02,3.2002e+02,2.4001e+02,2.4001e+02,2.4001e+02,2.8002e+02,4.0003e+02,1.8407e+03,1.9608e+03,2.7213e+03,2.0008e+03,2.0809e+03,4.2437e+03,3.7228e+03,2.2410e+03,1.6005e+03,2.0809e+03,6.0475e+03,1.9208e+03
2021-01-06 03:00:00 UTC,2.4001e+02,2.4001e+02,4.4004e+02,2.8002e+02,3.2002e+02,3.6003e+02,2.0001e+02,2.4001e+02,2.4001e+02,6.3282e+03,1.4404e+03,2.2410e+03,1.3204e+03,1.5205e+03,1.9208e+03,1.8807e+03,1.8007e+03,2.1610e+03,1.6806e+03,2.3611e+03,1.8007e+03
2021-01-06 03:15:00 UTC,2.8002e+02,2.8002e+02,4.0003e+02,3.2002e+02,3.6003e+02,3.6003e+02,3.2002e+02,3.2002e+02,2.8002e+02,1.7206e+03,2.0409e+03,2.4412e+03,3.4424e+03,2.0008e+03,2.3211e+03,2.3611e+03,2.1209e+03,1.5205e+03,1.9608e+03,2.5213e+03,2.0409e+03
2021-01-06 03:30:00 UTC,3.2002e+02,2.4001e+02,2.8002e+02,2.8002e+02,3.2002e+02,2.4001e+02,3.2002e+02,4.0003e+02,3.6003e+02,1.6406e+03,2.2410e+03,2.4813e+03,5.2056e+03,1.6005e+03,1.8007e+03,1.9208e+03,1.7606e+03,1.0011e+04,2.0409e+03,2.1209e+03,4.2036e+03
2021-01-06 03:45:00 UTC,4.0003e+02,4.0003e+02,2.4001e+02,2.8002e+02,2.0001e+02,2.8002e+02,3.2002e+02,2.4001e+02,3.6003e+02,2.1610e+03,1.7606e+03,6.6892e+03,2.5213e+03,7.2107e+03,2.6014e+03,2.2811e+03,2.2410e+03,7.3656e+03,5.5664e+03,2.0409e+03,3.3223e+03
2021-01-06 04:00:00 UTC,3.2002e+02,3.2002e+02,2.8002e+02,3.2002e+02,2.8002e+02,2.4001e+02,3.2002e+02,2.4001e+02,3.6003e+02,1.6406e+03,3.6027e+03,2.9217e+03,1.8807e+03,3.5626e+03,2.2010e+03,1.9208e+03,1.6806e+03,5.4837e+03,2.6815e+03,2.3611e+03,1.9208e+03
2021-01-06 04:15:00 UTC,2.4001e+02,3.2002e+02,3.6003e+02,3.2002e+02,3.2002e+02,2.8002e+02,2.0001e+02,2.4001e+02,2.8002e+02,1.9608e+03,5.6866e+03,4.4441e+03,2.4012e+03,2.3611e+03,5.8470e+03,6.4085e+03,5.7668e+03,6.0841e+03,1.9208e+03,2.1209e+03,2.1610e+03
