# file...... 1Meter_652_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 00:00:00 UTC,+2521.31+0.0118872d,+3442.44+0.0162979d,+7130.5+0.0338102d,+4724.61+0.0223801d,+5245.68+0.0248537d,+5165.51+0.024473d,+3001.86+0.0142094d,+10824.2+0.0514032d,+5486.21+0.0259959d,+7090.33+0.0334329d,+920.173+0.00432791d,+4804.74+0.0226344d,+960.189+0.00451619d,+1240.32+0.00583442d,+160.005+0.000752339d,+120.003+0.000564244d,+240.012+0.00112856d
2021-01-06 00:15:00 UTC,+6488.6+0.0304215d,+3762.89+0.0176584d,+3402.37+0.0159642d,+6247.99+0.0293502d,+8253.95+0.0388053d,+5325.8+0.0250088d,+2281.06+0.010698d,+2881.7+0.0135183d,+760.118+0.00356268d,+3041.88+0.0142059d,+880.157+0.00410679d,+2801.6+0.0130824d,+840.143+0.00392003d,+240.012+0.0011196d,+160.005+0.00074636d,+200.008+0.000932973d,+240.012+0.0011196d
2021-01-06 00:30:00 UTC,+7290.87+0.0342164d,+1480.45+0.00694233d,+1000.2+0.00468938d,+5045.21+0.0236932d,+4764.64+0.0223731d,+5245.63+0.0246365d,+8896.22+0.0418444d,+2881.7+0.013521d,+920.173+0.00431402d,+2881.69+0.0134788d,+880.158+0.00411348d,+2681.46+0.0125412d,+6288.07+0.0294526d,+200.008+0.000934492d,+120.003+0.000560668d,+240.012+0.00112142d,+120.003+0.000560668d
2021-01-06 00:45:00 UTC,+7250.75+0.0340272d,+3482.48+0.0163402d,+880.158+0.00412542d,+3322.26+0.0155874d,+4363.89+0.0204833d,+5325.8+0.0250082d,+8896.21+0.0418348d,+2921.74+0.013706d,+760.118+0.0035626d,+1840.69+0.00859549d,+1520.47+0.00709923d,+2761.55+0.0129005d,+1040.22+0.00485595d,+160.005+0.000746668d,+120.003+0.000559987d,+160.005+0.000746668d,+160.005+0.000746668d
2021-01-06 01:00:00 UTC,+7090.33+0.0334597d,+1200.3+0.00566456d,+960.189+0.00453097d,+5165.49+0.0244174d,+6127.73+0.0289774d,+5526.29+0.0261267d,+2881.71+0.0136091d,+5887.14+0.0278369d,+9619.09+0.0455533d,+4844.82+0.0228622d,+13960.2+0.0661253d,+7531.67+0.0355805d,+792.129+0.00373175d,+240.012+0.00113045d,+280.016+0.00131889d,+1080.24+0.00508965d,+160.005+0.000753594d
2021-01-06 01:15:00 UTC,+7130.47+0.0337242d,+3202.13+0.0152371d,+7652.16+0.0364796d,+7250.92+0.034561d,+7933.07+0.0378232d,+7571.91+0.0360958d,+2961.82+0.0140922d,+12713.6+0.0607369d,+13316.9+0.063635d,+4724.6+0.0223289d,+13276.4+0.062968d,+1360.38+0.00642039d,+875.891+0.00413299d,+160.005+0.00075478d,+240.012+0.00113223d,+200.008+0.000943498d,+2601.39+0.0122837d
2021-01-06 01:30:00 UTC,+2641.42+0.012331d,+1160.27+0.0054237d,+840.144+0.00392674d,+3282.2+0.0153559d,+5686.6+0.0266311d,+5927.17+0.0277605d,+3682.76+0.0172328d,+2921.74+0.0136675d,+1440.42+0.00673402d,+2921.74+0.0136585d,+7531.57+0.0352747d,+2481.25+0.0115972d,+4484.1+0.0209755d,+160.005+0.000747146d,+2321.1+0.0108479d,+200.008+0.000933955d,+1280.33+0.00598127d
2021-01-06 01:45:00 UTC,+2321.1+0.0108354d,+3883.08+0.0182105d,+920.173+0.00431011d,+5726.7+0.0268768d,+5486.15+0.0257453d,+7090.28+0.033295d,+8173.67+0.0383995d,+2841.65+0.0133208d,+1360.38+0.00637319d,+2841.64+0.0132639d,+2200.98+0.0102708d,+2761.55+0.0128896d,+3081.93+0.0143869d,+160.005+0.000746038d,+200.008+0.00093257d,+240.012+0.00111911d,+960.187+0.00447841d
2021-01-06 02:00:00 UTC,+2361.13+0.0109946d,+1800.66+0.00841709d,+920.172+0.00429975d,+5045.19+0.0236147d,+5526.23+0.0258714d,+9819.7+0.0460523d,+9177.2+0.0430278d,+2761.55+0.0129138d,+1240.31+0.00579646d,+2120.91+0.00987484d,+680.094+0.00316463d,+6568.77+0.0306391d,+800.13+0.00372336d,+280.016+0.00130276d,+3282.19+0.0152889d,+240.012+0.00111663d,+240.012+0.00111663d
2021-01-06 02:15:00 UTC,+2441.21+0.01141d,+2761.56+0.0129531d,+3562.59+0.0167158d,+7451.37+0.0350178d,+8815.92+0.0414538d,+6127.68+0.0287815d,+3041.89+0.0142696d,+3883.08+0.0182219d,+840.144+0.0039376d,+8334.17+0.0390353d,+720.105+0.00336234d,+3482.47+0.0162788d,+2000.81+0.00934715d,+320.021+0.00149401d,+200.008+0.000933688d,+80.0013+0.000373448d,+1400.4+0.0065406d
