# file...... 1Meter_652_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 00:00:00 UTC,1.8007e+03,3.6427e+03,2.3611e+03,5.1254e+03,2.5213e+03,3.4424e+03,7.1305e+03,4.7246e+03,5.2457e+03,5.1655e+03,3.0019e+03,1.0824e+04,5.4862e+03,7.0903e+03,9.2017e+02,4.8047e+03,9.6019e+02,1.2403e+03,1.6001e+02,1.2000e+02,2.4001e+02
2021-01-06 00:15:00 UTC,1.9208e+03,1.0802e+03,2.9618e+03,3.7228e+03,6.4886e+03,3.7629e+03,3.4024e+03,6.2480e+03,8.2540e+03,5.3258e+03,2.2811e+03,2.8817e+03,7.6012e+02,3.0419e+03,8.8016e+02,2.8016e+03,8.4014e+02,2.4001e+02,1.6001e+02,2.0001e+02,2.4001e+02
2021-01-06 00:30:00 UTC,1.9208e+03,1.0802e+03,2.5213e+03,3.3223e+03,7.2909e+03,1.4804e+03,1.0002e+03,5.0452e+03,4.7646e+03,5.2456e+03,8.8962e+03,2.8817e+03,9.2017e+02,2.8817e+03,8.8016e+02,2.6815e+03,6.2881e+03,2.0001e+02,1.2000e+02,2.4001e+02,1.2000e+02
2021-01-06 00:45:00 UTC,1.9208e+03,1.0802e+03,2.6815e+03,2.4412e+03,7.2507e+03,3.4825e+03,8.8016e+02,3.3223e+03,4.3639e+03,5.3258e+03,8.8962e+03,2.9217e+03,7.6012e+02,1.8407e+03,1.5205e+03,2.7616e+03,1.0402e+03,1.6001e+02,1.2000e+02,1.6001e+02,1.6001e+02
2021-01-06 01:00:00 UTC,3.4424e+03,1.1603e+03,3.7228e+03,3.2021e+03,7.0903e+03,1.2003e+03,9.6019e+02,5.1655e+03,6.1277e+03,5.5263e+03,2.8817e+03,5.8871e+03,9.6191e+03,4.8448e+03,1.3960e+04,7.5317e+03,7.9213e+02,2.4001e+02,2.8002e+02,1.0802e+03,1.6001e+02
2021-01-06 01:15:00 UTC,3.9232e+03,1.0802e+03,2.0809e+03,2.6815e+03,7.1305e+03,3.2021e+03,7.6522e+03,7.2509e+03,7.9331e+03,7.5719e+03,2.9618e+03,1.2714e+04,1.3317e+04,4.7246e+03,1.3276e+04,1.3604e+03,8.7589e+02,1.6001e+02,2.4001e+02,2.0001e+02,2.6014e+03
2021-01-06 01:30:00 UTC,1.8407e+03,1.2003e+03,1.9608e+03,3.0419e+03,2.6414e+03,1.1603e+03,8.4014e+02,3.2822e+03,5.6866e+03,5.9272e+03,3.6828e+03,2.9217e+03,1.4404e+03,2.9217e+03,7.5316e+03,2.4813e+03,4.4841e+03,1.6001e+02,2.3211e+03,2.0001e+02,1.2803e+03
2021-01-06 01:45:00 UTC,1.8807e+03,1.0002e+03,1.9208e+03,3.2021e+03,2.3211e+03,3.8831e+03,9.2017e+02,5.7267e+03,5.4862e+03,7.0903e+03,8.1737e+03,2.8416e+03,1.3604e+03,2.8416e+03,2.2010e+03,2.7616e+03,3.0819e+03,1.6001e+02,2.0001e+02,2.4001e+02,9.6019e+02
2021-01-06 02:00:00 UTC,1.8007e+03,1.0402e+03,2.3211e+03,2.3611e+03,2.3611e+03,1.8007e+03,9.2017e+02,5.0452e+03,5.5262e+03,9.8197e+03,9.1772e+03,2.7616e+03,1.2403e+03,2.1209e+03,6.8009e+02,6.5688e+03,8.0013e+02,2.8002e+02,3.2822e+03,2.4001e+02,2.4001e+02
2021-01-06 02:15:00 UTC,1.7606e+03,2.2010e+03,2.2811e+03,4.0433e+03,2.4412e+03,2.7616e+03,3.5626e+03,7.4514e+03,8.8159e+03,6.1277e+03,3.0419e+03,3.8831e+03,8.4014e+02,8.3342e+03,7.2011e+02,3.4825e+03,2.0008e+03,3.2002e+02,2.0001e+02,8.0001e+01,1.4004e+03
