# file...... 1Meter_684_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_24:measured_power,house_meter_684_C_25:measured_power,house_meter_684_C_26:measured_power,house_meter_684_C_27:measured_power,house_meter_684_C_28:measured_power,house_meter_684_C_29:measured_power,house_meter_684_C_30:measured_power,house_meter_684_C_31:measured_power,house_meter_684_C_32:measured_power,house_meter_684_C_33:measured_power,house_meter_684_C_34:measured_power,house_meter_684_C_35:measured_power,house_meter_684_C_36:measured_power,house_meter_684_C_37:measured_power,house_meter_684_C_38:measured_power,house_meter_684_C_39:measured_power,house_meter_684_C_40:measured_power
2021-01-06 00:00:00 UTC,+280.016+0.00133663d,+240.012+0.00114747d,+3282.25+0.0157121d,+3242.19+0.0155201d,+520.056+0.00248663d,+1800.68+0.00861448d,+2561.37+0.0122575d,+2321.12+0.0111067d,+1960.8+0.00938116d,+2120.94+0.0101477d,+1000.21+0.00478328d,+2641.45+0.0126408d,+1240.32+0.00593216d,+2601.41+0.012449d,+1080.24+0.0051662d,+2120.94+0.0101477d,+2961.83+0.0141759d
2021-01-06 00:15:00 UTC,+600.075+0.00285778d,+960.192+0.00458176d,+3282.24+0.0156771d,+3202.13+0.0152939d,+440.04+0.00209929d,+1440.43+0.0068747d,+2481.28+0.0118475d,+2401.2+0.0114647d,+1920.77+0.00916901d,+2040.87+0.00974214d,+1240.32+0.00591873d,+1600.53+0.00763879d,+1200.3+0.00572766d,+2561.36+0.0122294d,+2160.97+0.010316d,+2241.04+0.0106986d,+2721.54+0.012995d
2021-01-06 00:30:00 UTC,+760.12+0.00361299d,+480.048+0.00228515d,+3162.08+0.015069d,+3202.13+0.0152602d,+440.04+0.00209467d,+1200.3+0.00571543d,+2361.16+0.0112485d,+2321.12+0.0110575d,+560.065+0.00266614d,+1360.38+0.00648067d,+1440.43+0.00686222d,+1720.61+0.00819798d,+1280.34+0.00609915d,+2801.63+0.0133545d,+2361.16+0.0112529d,+2481.28+0.0118259d,+2361.16+0.0112529d
2021-01-06 00:45:00 UTC,+360.027+0.00171047d,+320.021+0.00152282d,+3482.52+0.0165933d,+3322.29+0.0158288d,+480.048+0.00228445d,+880.161+0.0041892d,+2241.04+0.0106725d,+2641.45+0.0125814d,+1040.22+0.00495137d,+1280.34+0.00609918d,+2000.83+0.00953424d,+1840.7+0.00877063d,+1400.41+0.00667147d,+3562.64+0.0169875d,+2641.45+0.0125902d,+3122.02+0.0148838d,+2281.08+0.0108709d
2021-01-06 01:00:00 UTC,+440.04+0.00209377d,+960.192+0.00457944d,+3762.94+0.0179675d,+3722.88+0.0177759d,+360.027+0.00171665d,+920.176+0.00438852d,+2361.16+0.0112676d,+2401.2+0.0114589d,+1000.21+0.00477037d,+1000.21+0.00477245d,+2681.5+0.0128036d,+1840.7+0.00878592d,+1640.56+0.00782995d,+2841.68+0.0135693d,+3001.87+0.0143353d,+2401.2+0.0114639d,+2401.2+0.0114639d
2021-01-06 01:15:00 UTC,+960.191+0.00457327d,+480.048+0.00228951d,+3162.08+0.0150979d,+3322.3+0.0158639d,+520.056+0.00248037d,+1000.21+0.00477137d,+1480.46+0.00706374d,+2561.36+0.0122266d,+840.147+0.00400755d,+920.176+0.00439116d,+1520.48+0.00725767d,+1600.53+0.00764004d,+1240.32+0.0059197d,+2681.5+0.0128057d,+2721.54+0.0129972d,+2201.01+0.010509d,+2561.36+0.0122314d
2021-01-06 01:30:00 UTC,+240.012+0.00113795d,+560.065+0.00265935d,+3242.18+0.0154119d,+3122.02+0.01484d,+400.033+0.00189934d,+1120.26+0.00532054d,+1240.32+0.00589104d,+2561.36+0.0121721d,+560.065+0.00265935d,+960.191+0.00456241d,+1360.38+0.00646502d,+1560.5+0.00741668d,+1360.38+0.00646502d,+2601.4+0.0123691d,+2601.4+0.0123691d,+2481.28+0.0117974d,+2681.49+0.0127504d
2021-01-06 01:45:00 UTC,+480.048+0.00228025d,+760.12+0.00361659d,+3402.4+0.0162061d,+3682.81+0.0175438d,+600.075+0.00285492d,+1160.28+0.00552143d,+1200.3+0.00571197d,+2721.54+0.0129594d,+640.085+0.00304532d,+760.12+0.00361888d,+1520.48+0.00724118d,+2841.68+0.0135407d,+2681.49+0.0127766d,+2601.4+0.0123946d,+2321.12+0.0110578d,+2281.08+0.0108669d,+2521.32+0.0120126d
2021-01-06 02:00:00 UTC,+1040.22+0.00495007d,+280.016+0.00133322d,+3803+0.0181334d,+3442.46+0.0164118d,+480.048+0.0022858d,+880.161+0.00419167d,+1000.21+0.00476362d,+2561.36+0.0122067d,+640.085+0.00304803d,+800.133+0.00381367d,+1520.48+0.00724922d,+2841.68+0.0135558d,+2521.32+0.0120259d,+2961.82+0.0141296d,+2201.01+0.0104967d,+2321.12+0.0110701d,+2441.24+0.0116436d
2021-01-06 02:15:00 UTC,+200.008+0.000950147d,+880.161+0.00418759d,+3242.18+0.0154406d,+3162.07+0.0150586d,+400.033+0.00190288d,+800.133+0.00380671d,+880.161+0.00418759d,+2481.28+0.0118132d,+960.191+0.00456851d,+1000.21+0.00476393d,+1560.51+0.00743433d,+3041.92+0.0145008d,+2641.45+0.0125897d,+3122.02+0.0148831d,+2201.01+0.0104885d,+2481.28+0.0118255d,+2281.08+0.0108704d
