# file...... Meter_632_A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_A:measured_power.real,xfmr_meter_632_A_1:measured_power.real,xfmr_meter_632_A_2:measured_power.real,xfmr_meter_632_A_3:measured_power.real,xfmr_meter_632_A_4:measured_power.real,xfmr_meter_632_A_5:measured_power.real,house_meter_632_A_1:measured_power.real,house_meter_632_A_2:measured_power.real,house_meter_632_A_3:measured_power.real,house_meter_632_A_4:measured_power.real,house_meter_632_A_5:measured_power.real,house_meter_632_A_6:measured_power.real,house_meter_632_A_7:measured_power.real,house_meter_632_A_8:measured_power.real,house_meter_632_A_9:measured_power.real,house_meter_632_A_10:measured_power.real,house_meter_632_A_11:measured_power.real,house_meter_632_A_12:measured_power.real,house_meter_632_A_13:measured_power.real,house_meter_632_A_14:measured_power.real,house_meter_632_A_15:measured_power.real,house_meter_632_A_16:measured_power.real,house_meter_632_A_17:measured_power.real,house_meter_632_A_18:measured_power.real,house_meter_632_A_19:measured_power.real
2021-01-06 00:00:00 UTC,9.8664e+04,1.2101e+04,9.5329e+03,6.5662e+03,4.2472e+04,2.7991e+04,1.1603e+03,1.6405e+03,2.0008e+03,1.3204e+03,1.4004e+03,1.6806e+03,1.4404e+03,1.4404e+03,1.4803e+03,1.2803e+03,1.4804e+03,1.2803e+03,9.6019e+02,7.6012e+02,1.1603e+03,1.1203e+03,1.2803e+03,7.6012e+02,8.4014e+02
2021-01-06 00:15:00 UTC,8.7670e+04,1.2302e+04,7.7687e+03,6.3257e+03,3.6884e+04,2.4389e+04,1.1203e+03,1.2403e+03,2.6815e+03,1.3604e+03,1.7606e+03,1.3204e+03,1.3604e+03,1.4404e+03,1.1203e+03,1.2003e+03,1.4004e+03,1.2003e+03,7.2010e+02,5.6006e+02,8.0013e+02,7.6012e+02,9.2017e+02,9.2017e+02,6.0007e+02
2021-01-06 00:30:00 UTC,8.8425e+04,1.1378e+04,1.0295e+04,5.9250e+03,3.4455e+04,2.6371e+04,1.0402e+03,1.4004e+03,1.9608e+03,1.4004e+03,1.5205e+03,1.1603e+03,1.5605e+03,1.3204e+03,2.4406e+03,1.2003e+03,1.4004e+03,1.4404e+03,7.2010e+02,9.6019e+02,1.1203e+03,1.0002e+03,8.4014e+02,6.8009e+02,1.0002e+03
2021-01-06 00:45:00 UTC,1.0059e+05,1.0897e+04,1.1060e+04,6.5261e+03,4.3281e+04,2.8829e+04,1.0002e+03,1.3204e+03,1.8007e+03,1.5205e+03,1.2403e+03,1.1603e+03,1.5205e+03,1.3204e+03,4.0821e+03,1.1603e+03,1.3204e+03,1.4804e+03,7.2010e+02,6.8009e+02,8.4014e+02,7.6012e+02,8.8016e+02,9.2017e+02,8.0013e+02
2021-01-06 01:00:00 UTC,8.9649e+04,1.0335e+04,1.1621e+04,5.8849e+03,3.6724e+04,2.5083e+04,1.0002e+03,1.3604e+03,1.4404e+03,1.5205e+03,1.2403e+03,1.1203e+03,1.4804e+03,1.1603e+03,4.0421e+03,1.2003e+03,1.0402e+03,1.9207e+03,6.0007e+02,8.4014e+02,1.2003e+03,7.6012e+02,8.8016e+02,6.4008e+02,8.8016e+02
2021-01-06 01:15:00 UTC,9.6337e+04,9.7736e+03,1.1100e+04,5.9651e+03,4.2879e+04,2.6619e+04,1.0002e+03,1.1203e+03,1.0802e+03,1.4804e+03,1.2803e+03,1.1203e+03,1.4804e+03,1.2003e+03,3.8018e+03,1.2803e+03,1.0002e+03,2.3211e+03,5.2005e+02,4.8005e+02,9.2017e+02,7.6012e+02,8.0013e+02,9.2017e+02,6.0007e+02
2021-01-06 01:30:00 UTC,8.5886e+04,9.4928e+03,1.1259e+04,5.8850e+03,3.1709e+04,2.7539e+04,1.0002e+03,1.2003e+03,1.0002e+03,1.6005e+03,1.2003e+03,1.1203e+03,1.2403e+03,1.1203e+03,3.2413e+03,1.2803e+03,1.0002e+03,2.2811e+03,7.6012e+02,7.6012e+02,1.0802e+03,8.4014e+02,9.6019e+02,7.6012e+02,9.2017e+02
2021-01-06 01:45:00 UTC,8.9230e+04,8.8112e+03,9.8145e+03,6.0853e+03,4.0281e+04,2.4236e+04,1.1203e+03,3.2002e+02,1.0002e+03,1.3604e+03,1.2803e+03,1.2803e+03,1.0802e+03,1.3604e+03,2.3606e+03,1.2003e+03,1.0002e+03,2.3211e+03,6.8009e+02,4.8005e+02,9.6019e+02,8.0013e+02,8.0013e+02,8.4014e+02,5.6006e+02
2021-01-06 02:00:00 UTC,9.7305e+04,7.9293e+03,9.3731e+03,5.2439e+03,4.5311e+04,2.9446e+04,1.1203e+03,0.0000e+00,9.6019e+02,9.6019e+02,1.3204e+03,1.2403e+03,1.0802e+03,1.2403e+03,1.0402e+03,1.1603e+03,9.6019e+02,2.4012e+03,8.4014e+02,8.4014e+02,1.2003e+03,9.2017e+02,6.0007e+02,8.0013e+02,6.0007e+02
2021-01-06 02:15:00 UTC,8.5120e+04,7.7690e+03,8.2505e+03,5.7647e+03,3.7288e+04,2.6047e+04,1.0802e+03,0.0000e+00,8.4014e+02,9.2017e+02,1.2803e+03,1.2003e+03,1.1203e+03,1.3204e+03,1.0802e+03,1.1603e+03,9.6019e+02,2.2811e+03,6.0007e+02,4.4004e+02,1.0402e+03,6.8009e+02,6.8009e+02,7.6012e+02,5.2005e+02
