# file...... Meter_632_B_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_B:measured_power.real,xfmr_meter_632_B_1:measured_power.real,xfmr_meter_632_B_2:measured_power.real,xfmr_meter_632_B_3:measured_power.real,xfmr_meter_632_B_4:measured_power.real,xfmr_meter_632_B_5:measured_power.real,house_meter_632_B_1:measured_power.real,house_meter_632_B_2:measured_power.real,house_meter_632_B_3:measured_power.real,house_meter_632_B_4:measured_power.real,house_meter_632_B_5:measured_power.real,house_meter_632_B_6:measured_power.real,house_meter_632_B_7:measured_power.real,house_meter_632_B_8:measured_power.real,house_meter_632_B_9:measured_power.real,house_meter_632_B_10:measured_power.real,house_meter_632_B_11:measured_power.real,house_meter_632_B_12:measured_power.real,house_meter_632_B_13:measured_power.real,house_meter_632_B_14:measured_power.real,house_meter_632_B_15:measured_power.real,house_meter_632_B_16:measured_power.real,house_meter_632_B_17:measured_power.real,house_meter_632_B_18:measured_power.real,house_meter_632_B_19:measured_power.real
2021-01-06 00:00:00 UTC,3.7817e+04,3.8421e+03,5.7246e+03,8.2107e+03,1.6197e+04,3.8422e+03,5.2005e+02,6.0007e+02,6.4008e+02,7.6012e+02,3.2002e+02,2.4001e+02,4.0003e+02,3.6003e+02,5.6006e+02,1.0002e+03,9.6018e+02,6.4008e+02,7.2010e+02,6.4008e+02,5.6006e+02,6.4008e+02,6.0007e+02,2.8002e+02,7.6012e+02
2021-01-06 00:15:00 UTC,4.1510e+04,2.7210e+03,8.7734e+03,7.6496e+03,1.6720e+04,5.6455e+03,2.8002e+02,2.8002e+02,4.0003e+02,4.0003e+02,3.2002e+02,2.8002e+02,3.2002e+02,4.4004e+02,3.2822e+03,1.2403e+03,6.0007e+02,2.4001e+02,5.6006e+02,6.4008e+02,6.8009e+02,1.5205e+03,7.2010e+02,1.6001e+02,4.0003e+02
2021-01-06 00:30:00 UTC,3.5856e+04,2.2807e+03,4.4429e+03,9.3742e+03,1.5876e+04,3.8823e+03,2.4001e+02,2.8002e+02,3.6003e+02,2.8002e+02,2.4001e+02,2.4001e+02,2.8002e+02,3.6003e+02,2.8002e+02,3.6003e+02,9.6018e+02,2.8002e+02,6.0007e+02,6.0007e+02,8.4014e+02,5.2005e+02,2.5213e+03,2.8002e+02,4.8005e+02
2021-01-06 00:45:00 UTC,3.8666e+04,4.8441e+03,4.2025e+03,7.1683e+03,1.8088e+04,4.3628e+03,6.4008e+02,1.9207e+03,5.6006e+02,4.0003e+02,4.0003e+02,2.8002e+02,2.8002e+02,3.6003e+02,8.0013e+02,3.6003e+02,5.6006e+02,2.4001e+02,5.2005e+02,5.2005e+02,5.6006e+02,6.4008e+02,5.6006e+02,2.4001e+02,4.4004e+02
2021-01-06 01:00:00 UTC,3.6939e+04,5.0048e+03,4.9638e+03,6.1662e+03,1.6882e+04,3.9223e+03,4.8005e+02,2.2810e+03,5.2005e+02,4.8005e+02,3.2002e+02,2.0001e+02,2.8002e+02,4.4004e+02,6.4008e+02,4.0003e+02,4.4004e+02,3.6003e+02,6.8009e+02,5.2005e+02,1.4404e+03,4.8005e+02,5.2005e+02,1.6001e+02,2.8002e+02
2021-01-06 01:15:00 UTC,3.6817e+04,2.7611e+03,4.5229e+03,6.2061e+03,1.6318e+04,7.0090e+03,2.8002e+02,2.4001e+02,5.6006e+02,3.2002e+02,4.0003e+02,2.4001e+02,2.8002e+02,4.4004e+02,7.2010e+02,3.6003e+02,4.8005e+02,2.8002e+02,6.0007e+02,6.8009e+02,8.4014e+02,5.6006e+02,5.6006e+02,2.8002e+02,3.2002e+02
2021-01-06 01:30:00 UTC,3.0963e+04,2.3208e+03,3.2816e+03,5.6854e+03,1.5152e+04,4.5230e+03,3.2002e+02,2.8002e+02,4.0003e+02,3.2002e+02,1.6001e+02,2.8002e+02,2.0001e+02,3.6003e+02,1.2000e+02,4.4004e+02,2.4001e+02,2.0001e+02,5.2005e+02,5.2005e+02,7.2010e+02,5.2005e+02,4.4004e+02,1.6001e+02,3.2002e+02
2021-01-06 01:45:00 UTC,3.1200e+04,3.9222e+03,3.4818e+03,6.3265e+03,1.3867e+04,3.6020e+03,6.4008e+02,6.0007e+02,7.6012e+02,5.2005e+02,5.6006e+02,2.4001e+02,2.4001e+02,3.6003e+02,3.2002e+02,2.0001e+02,3.2002e+02,2.8002e+02,6.0007e+02,6.0007e+02,5.6006e+02,6.0007e+02,4.8005e+02,3.2002e+02,2.8002e+02
2021-01-06 02:00:00 UTC,3.1963e+04,5.8480e+03,3.4017e+03,5.6854e+03,1.3666e+04,3.3617e+03,3.6003e+02,3.6003e+02,4.8005e+02,3.3623e+03,3.6003e+02,2.4001e+02,2.4001e+02,4.4004e+02,2.0001e+02,4.0003e+02,2.4001e+02,3.2002e+02,6.8009e+02,4.8005e+02,5.6006e+02,5.2005e+02,3.2002e+02,1.6001e+02,2.8002e+02
2021-01-06 02:15:00 UTC,3.1200e+04,2.5209e+03,4.2426e+03,5.8055e+03,1.3386e+04,5.2448e+03,2.8002e+02,3.6003e+02,4.8005e+02,3.2002e+02,1.6001e+02,2.8002e+02,2.4001e+02,4.0003e+02,8.8015e+02,2.4001e+02,5.2005e+02,2.8002e+02,5.2005e+02,6.8009e+02,5.6006e+02,5.6006e+02,3.6003e+02,2.4001e+02,3.2002e+02
2021-01-06 02:30:00 UTC,3.0158e+04,6.2895e+03,3.7222e+03,5.3646e+03,1.1941e+04,2.8413e+03,4.0003e+02,3.2002e+02,5.2005e+02,4.4004e+02,3.6003e+02,2.0001e+02,3.2002e+02,3.7228e+03,1.6001e+02,1.6001e+02,1.0002e+03,2.4001e+02,6.0007e+02,5.2005e+02,5.6006e+02,4.8005e+02,3.2002e+02,2.8002e+02,3.2002e+02
