# file...... Meter_633_A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_A:measured_power,xfmr_meter_633_A_1:measured_power,xfmr_meter_633_A_2:measured_power,xfmr_meter_633_A_3:measured_power,xfmr_meter_633_A_4:measured_power,xfmr_meter_633_A_5:measured_power,house_meter_633_A_1:measured_power,house_meter_633_A_2:measured_power,house_meter_633_A_3:measured_power,house_meter_633_A_4:measured_power,house_meter_633_A_5:measured_power,house_meter_633_A_6:measured_power,house_meter_633_A_7:measured_power,house_meter_633_A_8:measured_power,house_meter_633_A_9:measured_power,house_meter_633_A_10:measured_power,house_meter_633_A_11:measured_power,house_meter_633_A_12:measured_power,house_meter_633_A_13:measured_power,house_meter_633_A_14:measured_power,house_meter_633_A_15:measured_power,house_meter_633_A_16:measured_power,house_meter_633_A_17:measured_power,house_meter_633_A_18:measured_power,house_meter_633_A_19:measured_power,house_meter_633_A_20:measured_power,house_meter_633_A_21:measured_power,house_meter_633_A_22:measured_power,house_meter_633_A_23:measured_power
2021-01-06 00:00:00 UTC,+73163+277.61j,+19426.6+74.9469j,+17493.4+60.5327j,+6887.44+9.0487j,+3642.62+2.74668j,+25712.4+129.583j,+6127.63+0.028586d,+5566.29+0.0259613d,+1040.22+0.0048427d,+880.157+0.00409727d,+800.13+0.00372461d,+1040.22+0.0048427d,+1840.69+0.00857203d,+2080.88+0.00969154d,+5045.17+0.0235174d,+4083.38+0.0190268d,+760.117+0.00353704d,+4083.38+0.0190268d,+1680.57+0.00782309d,+560.064+0.00260593d,+720.105+0.0033508d,+520.055+0.00241973d,+680.094+0.00315843d,+560.063+0.00260087d,+640.083+0.00297257d,+1080.24+0.00501754d,+320.021+0.001486d,+1960.78+0.00911077d,+1080.24+0.00501754d
2021-01-06 00:15:00 UTC,+67575.9+245.218j,+20431.5+81.8595j,+13995.9+39.3407j,+6006.04+7.01875j,+3001.55+1.76905j,+24140.5+114.567j,+4924.91+0.0228992d,+4363.86+0.0202859d,+920.171+0.00427155d,+880.157+0.00408574d,+600.073+0.00278526d,+1080.24+0.00501492d,+1800.66+0.00836186d,+5806.83+0.0270095d,+5125.31+0.0238049d,+2120.91+0.00983873d,+640.083+0.00296752d,+3442.4+0.0159775d,+960.186+0.00445214d,+640.083+0.00296752d,+640.083+0.00296752d,+400.032+0.00185443d,+640.083+0.0029632d,+520.055+0.00240742d,+320.021+0.00148131d,+360.026+0.00166651d,+320.021+0.00148131d,+1880.71+0.00871093d,+1440.42+0.00667042d
2021-01-06 00:30:00 UTC,+64735.9+237.627j,+18416.6+65.9527j,+12389.3+31.3328j,+6286.53+7.66013j,+2280.79+0.98039j,+25362.2+131.07j,+4924.92+0.0229145d,+3562.57+0.0165666d,+920.171+0.0042744d,+920.171+0.0042744d,+680.094+0.00315888d,+1000.2+0.00464631d,+1840.69+0.00855358d,+4524.15+0.0210464d,+5125.32+0.0238225d,+2080.88+0.00966001d,+640.083+0.00296971d,+2441.21+0.0113344d,+640.083+0.00296971d,+640.083+0.00296971d,+520.055+0.00241272d,+280.016+0.00129897d,+440.039+0.00203916d,+560.063+0.00259548d,+400.032+0.00185373d,+320.021+0.00148292d,+560.063+0.00259548d,+1920.75+0.00890613d,+1480.44+0.00686331d
2021-01-06 00:45:00 UTC,+67231.1+252.657j,+17696.9+62.8249j,+14315.9+40.576j,+6607.25+8.48376j,+2520.92+1.18151j,+26089.6+138.923j,+4965+0.0231248d,+1240.31+0.0057681d,+880.157+0.0040926d,+1000.2+0.00465102d,+640.083+0.002976d,+1040.22+0.00483718d,+1720.6+0.00800326d,+6167.72+0.0287406d,+5125.33+0.0238583d,+2040.84+0.00948819d,+720.105+0.00334609d,+2441.21+0.0113514d,+800.13+0.00371806d,+2200.98+0.0102334d,+480.047+0.0022304d,+480.047+0.0022304d,+520.055+0.00241292d,+280.016+0.00129908d,+320.021+0.0014847d,+440.039+0.00204161d,+800.129+0.00371282d,+2120.91+0.00984687d,+1320.35+0.00612809d
2021-01-06 01:00:00 UTC,+62905.4+204.976j,+17495.6+61.4124j,+12710.3+32.8007j,+8812+14.7395j,+2240.73+0.933253j,+21646.4+94.5453j,+4844.77+0.0225845d,+1040.22+0.00484162d,+920.172+0.00428266d,+1120.25+0.00521431d,+560.064+0.00260626d,+1000.2+0.00465529d,+1880.72+0.00875664d,+6087.53+0.0283921d,+5125.33+0.0238741d,+2120.91+0.00986728d,+760.117+0.0035344d,+2441.21+0.0113589d,+640.083+0.00297612d,+400.032+0.0018598d,+720.105+0.0033483d,+480.047+0.00223187d,+600.073+0.00278805d,+400.032+0.00185848d,+640.083+0.002974d,+1640.54+0.0076255d,+1200.29+0.00557814d,+2160.95+0.0100465d,+1400.4+0.00650863d
2021-01-06 01:15:00 UTC,+61571.5+191.172j,+14314.2+39.9273j,+12509.5+31.8694j,+10980.5+23.6602j,+2160.74+0.896259j,+21606.2+94.3083j,+4884.85+0.0227861d,+1080.24+0.00503114d,+1080.24+0.00503114d,+1320.35+0.00615008d,+680.094+0.00316699d,+1080.24+0.00503114d,+1800.66+0.00838892d,+2361.13+0.0110026d,+5085.25+0.023715d,+2080.88+0.00969231d,+680.094+0.00316594d,+2401.17+0.0111856d,+520.055+0.00242078d,+320.021+0.00148953d,+720.105+0.00335225d,+680.094+0.00316594d,+760.117+0.00353758d,+240.012+0.00111678d,+560.064+0.00260632d,+1880.72+0.00875683d,+1760.63+0.00819729d,+3722.81+0.0173468d,+1240.31+0.00577353d
2021-01-06 01:30:00 UTC,+75295.5+323.338j,+14756.3+42.3707j,+14356.4+40.9081j,+11902.2+27.0128j,+2200.69+0.896529j,+32079.2+211.294j,+5045.16+0.023481d,+1040.22+0.0048335d,+880.157+0.00408949d,+2401.17+0.0111635d,+760.117+0.00353157d,+1080.24+0.00501952d,+1840.69+0.00855574d,+1680.57+0.007811d,+5125.33+0.0238532d,+1920.75+0.00892751d,+720.105+0.00334537d,+2481.25+0.0115353d,+400.032+0.00185818d,+360.026+0.00167232d,+2481.25+0.0115353d,+840.143+0.00390322d,+680.094+0.00315802d,+760.117+0.00352973d,+640.083+0.00297219d,+1800.66+0.00836516d,+640.083+0.00297219d,+2281.05+0.010599d,+2761.54+0.0128341d
2021-01-06 01:45:00 UTC,+68336.7+277.636j,+14596.3+41.7212j,+12991+33.9713j,+8210.9+12.9706j,+2360.83+1.04218j,+30177.1+187.201j,+5125.32+0.0238298d,+1040.22+0.00482843d,+920.171+0.00427099d,+2601.37+0.0120825d,+640.083+0.00297062d,+1080.24+0.00501426d,+2080.88+0.00966296d,+1080.24+0.00501426d,+5165.4+0.0240095d,+1880.72+0.00873021d,+720.105+0.00334113d,+2521.29+0.0117067d,+600.073+0.00278407d,+480.047+0.0022271d,+680.093+0.00315543d,+920.171+0.00426974d,+720.105+0.00333821d,+640.083+0.00296716d,+560.063+0.00259614d,+2080.87+0.00965169d,+360.026+0.00166874d,+2160.94+0.0100234d,+1080.24+0.00500841d
2021-01-06 02:00:00 UTC,+61823.8+201.935j,+14877.1+43.0861j,+12629.5+32.1635j,+9213.44+16.2059j,+2000.58+0.742351j,+23102.7+109.202j,+4964.99+0.0230591d,+1000.2+0.00463784d,+1160.27+0.00538042d,+2361.13+0.0109544d,+520.055+0.00241098d,+1000.2+0.00463784d,+2681.45+0.0124421d,+1160.27+0.00538042d,+5125.31+0.0237955d,+1640.54+0.0076059d,+600.073+0.00278089d,+2481.24+0.0115075d,+640.083+0.00296636d,+560.063+0.00259544d,+800.129+0.0037083d,+760.117+0.0035228d,+680.093+0.00314987d,+680.093+0.00314987d,+2200.98+0.0102001d,+1800.65+0.00834354d,+280.016+0.00129669d,+1840.68+0.00852916d,+1280.33+0.00593131d
2021-01-06 02:15:00 UTC,+67500.2+242.416j,+13832.6+37.4907j,+14758.7+43.3196j,+10858.6+22.5109j,+2120.64+0.832291j,+25929.2+137.619j,+4924.91+0.0229091d,+1040.22+0.00483115d,+840.143+0.00390161d,+2441.21+0.0113443d,+720.105+0.00334399d,+1080.24+0.00501709d,+1720.6+0.00799328d,+1040.22+0.00483115d,+5566.28+0.0259037d,+1600.52+0.00743633d,+2361.13+0.0109737d,+2401.17+0.0111599d,+760.117+0.00353045d,+560.063+0.00260107d,+680.094+0.00315867d,+800.13+0.00371636d,+920.171+0.00427107d,+2281.05+0.0105936d,+640.083+0.00297068d,+2641.41+0.0122689d,+440.039+0.00204209d,+1960.78+0.00910499d,+1320.35+0.00612955d
