# file...... Meter_633_B_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_B:measured_power,xfmr_meter_633_B_1:measured_power,xfmr_meter_633_B_2:measured_power,xfmr_meter_633_B_3:measured_power,xfmr_meter_633_B_4:measured_power,xfmr_meter_633_B_5:measured_power,house_meter_633_B_1:measured_power,house_meter_633_B_2:measured_power,house_meter_633_B_3:measured_power,house_meter_633_B_4:measured_power,house_meter_633_B_5:measured_power,house_meter_633_B_6:measured_power,house_meter_633_B_7:measured_power,house_meter_633_B_8:measured_power,house_meter_633_B_9:measured_power,house_meter_633_B_10:measured_power,house_meter_633_B_11:measured_power,house_meter_633_B_12:measured_power,house_meter_633_B_13:measured_power,house_meter_633_B_14:measured_power,house_meter_633_B_15:measured_power,house_meter_633_B_16:measured_power,house_meter_633_B_17:measured_power,house_meter_633_B_18:measured_power,house_meter_633_B_19:measured_power,house_meter_633_B_20:measured_power,house_meter_633_B_21:measured_power,house_meter_633_B_22:measured_power,house_meter_633_B_23:measured_power
2021-01-06 00:00:00 UTC,+75523.7+364.151j,+38649.3+272.817j,+3962.85+3.12658j,+9897.35+19.3425j,+18650.3+64.1573j,+4363.13+3.6625j,+4363.84+0.0201916d,+4323.77+0.0200058d,+4644.35+0.0214919d,+4724.5+0.0218635d,+5486.07+0.0253957d,+5646.43+0.0261397d,+5165.38+0.0239081d,+4123.43+0.0190773d,+240.012+0.00110173d,+320.02+0.00146904d,+320.02+0.00146904d,+760.116+0.0034899d,+280.016+0.00128538d,+1600.51+0.00735087d,+120.003+0.000550824d,+320.02+0.00146904d,+240.012+0.00110291d,+160.005+0.000735237d,+240.012+0.00110291d,+280.016+0.00128676d,+2521.27+0.0115965d,+1400.39+0.00643814d,+2241.01+0.0103062d
2021-01-06 00:15:00 UTC,+75787+395.398j,+41158.6+310.642j,+3041.51+1.78061j,+9014.18+15.9963j,+18368.9+62.4151j,+4202.96+3.42735j,+5846.92+0.0271766d,+4403.92+0.0204575d,+6007.31+0.0279239d,+5245.57+0.0243756d,+3923.11+0.0182205d,+4764.59+0.0221362d,+5606.36+0.0260559d,+5165.4+0.0240022d,+120.003+0.000552633d,+280.016+0.0012896d,+360.026+0.00165813d,+480.046+0.002211d,+320.021+0.00147386d,+1000.2+0.00460769d,+120.003+0.000552633d,+360.026+0.00165813d,+200.008+0.000922094d,+320.021+0.00147545d,+280.016+0.00129099d,+200.008+0.000922094d,+2401.16+0.0110798d,+1280.33+0.00590522d,+1920.74+0.00886126d
2021-01-06 00:30:00 UTC,+74452.4+375.288j,+40471.3+300.422j,+4323.53+3.78625j,+9255.11+16.9183j,+16478.9+50.0257j,+3922.76+3.05907j,+6167.7+0.0286461d,+6368.21+0.0295798d,+4203.57+0.0195081d,+4243.64+0.0196944d,+5325.74+0.0247272d,+5085.23+0.0236082d,+4724.51+0.0219304d,+4163.5+0.0193219d,+120.003+0.000552345d,+480.046+0.00220986d,+320.021+0.0014731d,+1920.74+0.00884712d,+240.012+0.00110477d,+320.021+0.0014731d,+480.046+0.00220986d,+440.039+0.00202566d,+320.021+0.00147441d,+320.021+0.00147441d,+120.003+0.000552839d,+120.003+0.000552839d,+2521.28+0.0116264d,+1440.42+0.00663935d,+1960.77+0.00903972d
2021-01-06 00:45:00 UTC,+67517.4+304.914j,+36304.9+241.01j,+3883.23+3.20483j,+8251.99+13.4281j,+15394.2+43.7001j,+3682.44+2.69568j,+4484.06+0.0207649d,+5606.34+0.0259739d,+4363.84+0.0202073d,+4443.98+0.020579d,+4083.36+0.0189063d,+4924.89+0.0228105d,+4323.77+0.0200214d,+3923.1+0.0181632d,+80.0013+0.000367642d,+280.016+0.0012869d,+320.021+0.00147078d,+2040.83+0.00938594d,+240.012+0.00110303d,+320.021+0.00147078d,+320.021+0.00147078d,+280.016+0.0012869d,+360.026+0.00165598d,+240.012+0.0011039d,+120.003+0.000551912d,+120.003+0.000551912d,+2361.12+0.0108689d,+1160.27+0.00533849d,+2000.8+0.00920896d
2021-01-06 01:00:00 UTC,+71620+381.85j,+41972.5+324.146j,+3442.75+2.60052j,+8492.29+14.05j,+14269.6+37.6221j,+3442.1+2.33962j,+6408.29+0.0297094d,+4484.06+0.0207723d,+5445.99+0.0252383d,+4443.98+0.0205864d,+3762.86+0.0174263d,+8213.63+0.038107d,+5405.9+0.0250521d,+3602.62+0.0166831d,+80.0013+0.00036736d,+280.016+0.00128592d,+320.02+0.00146966d,+1960.77+0.00901057d,+120.003+0.000551055d,+160.005+0.000734759d,+240.012+0.00110219d,+280.016+0.00128592d,+280.016+0.0012871d,+200.008+0.000919309d,+120.003+0.000551558d,+600.072+0.0027586d,+2481.23+0.0114151d,+1240.31+0.00570329d,+1840.68+0.00846601d
2021-01-06 01:15:00 UTC,+67217+330.221j,+38932.8+276.735j,+3442.54+2.51589j,+7450.08+11.0473j,+14149+36.9198j,+3241.82+2.05498j,+5646.42+0.0261002d,+4363.83+0.0201611d,+5606.33+0.0259145d,+4443.97+0.020532d,+3883.03+0.0179363d,+5045.12+0.0233151d,+5806.79+0.0268432d,+3963.16+0.018307d,+120.003+0.000549922d,+400.032+0.00183338d,+400.032+0.00183338d,+1800.65+0.00825713d,+200.008+0.00091658d,+120.003+0.000549922d,+240.011+0.00109992d,+160.005+0.000733246d,+120.003+0.000550319d,+120.003+0.000550319d,+160.005+0.000733776d,+240.012+0.00110072d,+2321.08+0.0106535d,+1240.31+0.00569045d,+2120.9+0.00973397d
2021-01-06 01:30:00 UTC,+68588.5+344.647j,+39986+293.136j,+3923.32+3.28122j,+7489.84+11.05j,+13466.3+33.5162j,+3722.29+2.67432j,+4443.99+0.0206d,+4403.92+0.0204139d,+4604.28+0.0213444d,+6809.37+0.0315949d,+5365.82+0.0248824d,+5887+0.027305d,+4283.7+0.0198557d,+4003.24+0.0185536d,+120.003+0.000551669d,+360.026+0.00165524d,+600.072+0.00275913d,+2040.83+0.00938918d,+240.012+0.00110342d,+160.005+0.000735576d,+280.016+0.00128735d,+120.003+0.000551669d,+120.003+0.000552025d,+160.005+0.00073605d,+160.005+0.00073605d,+400.032+0.00184039d,+2200.97+0.0101331d,+1280.33+0.00589236d,+1960.77+0.00902636d
2021-01-06 01:45:00 UTC,+65551.5+346.375j,+40637.4+304.417j,+2160.68+0.864274j,+7209.14+10.2472j,+12261.7+27.7486j,+3281.85+2.1067j,+4363.85+0.020236d,+8334.05+0.0387088d,+4724.51+0.0219116d,+4403.92+0.0204221d,+3842.98+0.0178169d,+6127.59+0.0284351d,+5005.06+0.0232154d,+3642.68+0.0168869d,+280.016+0.0012873d,+320.021+0.00147123d,+440.039+0.00202309d,+320.021+0.00147123d,+280.016+0.0012873d,+120.003+0.000551646d,+240.012+0.00110337d,+160.005+0.000735546d,+120.003+0.000552149d,+160.005+0.000736217d,+360.026+0.00165669d,+280.016+0.00128847d,+2080.87+0.00958189d,+1080.23+0.00497221d,+2080.87+0.00958189d
2021-01-06 02:00:00 UTC,+69605.5+364.639j,+40998.2+308.645j,+2160.72+0.882522j,+10862.1+23.8243j,+12381.9+28.2239j,+3201.79+2.01933j,+6247.9+0.0290213d,+4243.64+0.0196956d,+6007.3+0.027901d,+4283.71+0.0198819d,+5245.57+0.0243556d,+4564.21+0.0211862d,+6488.52+0.030142d,+3722.8+0.0172746d,+240.012+0.0011043d,+240.012+0.0011043d,+640.082+0.00294551d,+320.021+0.00147247d,+120.003+0.000552111d,+200.008+0.000920229d,+200.008+0.000920229d,+200.008+0.000920229d,+160.005+0.000737326d,+160.005+0.000737326d,+280.016+0.00129041d,+160.005+0.000737326d,+1840.68+0.00848783d,+4802.79+0.0133334d,+2321.08+0.0107051d
2021-01-06 02:15:00 UTC,+69561.2+357.29j,+40229.9+297.199j,+1560.36+0.452278j,+12508.6+31.265j,+11579.4+24.7556j,+3682.19+2.59668j,+4363.85+0.0202303d,+4684.43+0.0217194d,+4243.64+0.0196721d,+4243.64+0.0196721d,+7611.72+0.0353336d,+4724.51+0.0219055d,+4443.99+0.0206025d,+5726.63+0.0265627d,+360.026+0.00165466d,+200.008+0.000919169d,+240.012+0.00110303d,+120.003+0.000551474d,+120.003+0.000551474d,+120.003+0.000551474d,+200.008+0.000919169d,+200.008+0.000919169d,+120.003+0.000552567d,+1400.39+0.0064516d,+320.021+0.00147369d,+200.008+0.000920991d,+1360.37+0.00626712d,+5484.03+0.0168637d,+2361.12+0.0108819d
