# file...... Meter_652A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 00:00:00 UTC,+128490+741.496j,+23201.7+102.34j,+19429.3+76.5737j,+25014+118.56j,+45269.7+389.065j,+15573.7+52.883j,+1080.24+0.00508828d,+4283.77+0.0202045d,+1000.21+0.00471114d,+4083.43+0.019258d,+2200.99+0.0103722d,+3883.1+0.0183117d,+3162.05+0.014907d,+3442.43+0.0162307d,+1040.22+0.00489628d,+920.174+0.00433101d,+1360.38+0.00640408d,+680.095+0.00320071d,+2281.07+0.0107423d,+2401.18+0.0113086d,+7812.55+0.0368758d,+2881.7+0.0135743d,+4844.83+0.0228637d,+1880.73+0.00886473d,+2761.57+0.0130212d,+1800.67+0.00848709d,+3642.73+0.0171823d,+2361.14+0.0111314d,+5125.4+0.0241906d
2021-01-06 00:15:00 UTC,+99365.7+445.371j,+21631+88.5566j,+14190.5+38.091j,+22078.1+93.8868j,+33051.1+208.859j,+8414.07+14.7305j,+1160.27+0.00542762d,+2721.51+0.012739d,+2120.92+0.00992527d,+2641.42+0.0123637d,+1000.2+0.00467852d,+3682.77+0.0172453d,+3362.25+0.0153722d,+4884.87+0.0228856d,+1600.52+0.00747812d,+1760.63+0.00822673d,+1440.42+0.00672965d,+880.158+0.00411115d,+2040.85+0.00953717d,+1920.75+0.0089755d,+3562.59+0.0166588d,+960.188+0.00448511d,+1080.24+0.00505347d,+1840.69+0.00861362d,+2921.74+0.0136785d,+1920.75+0.00898857d,+1080.24+0.00505347d,+2961.79+0.0138662d,+3722.83+0.0174346d
2021-01-06 00:30:00 UTC,+96665.1+405.15j,+17807.9+59.9566j,+13266+33.0303j,+21798.9+92.6909j,+30352.3+179.419j,+13439.2+38.9397j,+1160.27+0.0054276d,+2801.6+0.0131143d,+1120.26+0.00524031d,+1200.27+0.00525304d,+1680.58+0.00786316d,+3202.09+0.0149914d,+3282.2+0.0153669d,+3322.25+0.0155547d,+1560.5+0.00729486d,+1320.35+0.00617167d,+1480.45+0.00692042d,+960.188+0.0044875d,+1840.69+0.00860566d,+2961.79+0.0138534d,+1840.69+0.00860566d,+1280.33+0.0059845d,+1080.24+0.00505676d,+1760.63+0.00824408d,+2761.56+0.0129361d,+1920.75+0.00899442d,+1080.24+0.00505676d,+2521.3+0.0118095d,+3322.25+0.0155662d
2021-01-06 00:45:00 UTC,+89308.1+370.219j,+17647.3+58.9781j,+11138.2+23.2168j,+22683+99.3597j,+30067.6+175.309j,+7771.39+12.3262j,+1400.4+0.00655018d,+2761.55+0.012924d,+880.158+0.00411595d,+1440.42+0.00673749d,+1240.31+0.00580102d,+3121.99+0.0146129d,+3602.59+0.0164954d,+3162.04+0.0148006d,+1040.22+0.00485895d,+1200.29+0.00560703d,+1920.75+0.00897519d,+800.13+0.0037371d,+1960.78+0.0091624d,+1240.31+0.00579407d,+1840.69+0.0086008d,+1120.26+0.00523297d,+2721.51+0.0127482d,+1880.72+0.00880673d,+2641.42+0.0123727d,+1920.75+0.00899433d,+1080.24+0.00505671d,+2681.47+0.0125604d,+2441.22+0.0114339d
2021-01-06 01:00:00 UTC,+121978+665.991j,+16722.4+53.125j,+14391.4+39.3513j,+24294.4+114.075j,+37544.8+272.183j,+29023.2+185.457j,+1880.72+0.00884381d,+2801.61+0.0131791d,+1000.2+0.00470161d,+1360.38+0.0063956d,+1080.24+0.00507799d,+1960.79+0.00922059d,+3482.49+0.0163866d,+3122+0.0146882d,+2761.56+0.0129849d,+1000.2+0.00469958d,+2401.18+0.0112887d,+880.159+0.00413532d,+2841.65+0.0133619d,+1760.63+0.00827512d,+1840.69+0.00865169d,+880.159+0.00413532d,+1400.4+0.00659314d,+1960.79+0.00923358d,+2241.03+0.0105545d,+3442.43+0.0162207d,+1160.28+0.00546208d,+3722.84+0.017544d,+3202.1+0.0150868d
2021-01-06 01:15:00 UTC,+133353+1043.94j,+12664.4+30.5473j,+11861.4+26.8115j,+22203+97.1044j,+63090.1+760.082j,+23532.4+126.503j,+1200.3+0.00565301d,+2801.61+0.0132034d,+920.174+0.00433323d,+1920.73+0.00867965d,+2401.18+0.0113144d,+880.159+0.00414473d,+1000.21+0.00471026d,+1520.47+0.0071619d,+2481.26+0.0116904d,+640.084+0.00301345d,+1640.55+0.00772673d,+720.106+0.0033903d,+2000.82+0.00942493d,+1520.47+0.00716083d,+2000.82+0.00942493d,+840.145+0.00395564d,+400.033+0.00188675d,+1720.61+0.00811965d,+3122+0.0147414d,+3923.17+0.0185304d,+1080.24+0.00509637d,+2080.89+0.00982129d,+2681.48+0.012659d
2021-01-06 01:30:00 UTC,+81927.2+294.14j,+10416.4+20.496j,+10456.5+20.6506j,+14592.2+40.2294j,+25019.4+120.139j,+21442+91.8105j,+1080.24+0.00503585d,+2681.46+0.0125086d,+640.083+0.0029834d,+1000.2+0.00466259d,+1160.27+0.00540913d,+1600.52+0.00746288d,+1240.29+0.00542143d,+1000.2+0.00466259d,+680.094+0.00316997d,+800.13+0.00372965d,+1040.22+0.00484925d,+840.143+0.00391622d,+1920.75+0.00895727d,+1000.2+0.00466263d,+1960.78+0.0091441d,+2200.98+0.0102653d,+200.008+0.000932777d,+1920.75+0.00896408d,+1760.63+0.00821627d,+1840.69+0.00859015d,+1200.29+0.00560009d,+1960.78+0.00915105d,+3041.88+0.0142028d
2021-01-06 01:45:00 UTC,+88033.3+378.163j,+14394.6+40.4295j,+11260.7+24.5718j,+14271+38.5413j,+35639.5+242.908j,+12466.8+30.6589j,+1120.26+0.00522717d,+2961.78+0.0138302d,+720.105+0.00335951d,+1320.35+0.00616135d,+1200.29+0.00560082d,+840.143+0.00391971d,+4684.47+0.0218897d,+1520.47+0.00709575d,+840.143+0.00391746d,+880.157+0.0041041d,+760.117+0.00354419d,+680.094+0.00317096d,+1960.78+0.00914698d,+1520.47+0.00709167d,+3602.64+0.0168174d,+1000.2+0.00466409d,+240.012+0.00111948d,+1880.72+0.00877805d,+1800.66+0.00840411d,+1880.72+0.00877805d,+1000.2+0.00466667d,+1920.75+0.00896504d,+3202.09+0.0149534d
2021-01-06 02:00:00 UTC,+84606.3+378.464j,+10257.3+20.3997j,+9252.72+16.0508j,+14390.4+38.6654j,+36462.5+259.276j,+14242.6+43.0386j,+1160.27+0.00539611d,+2841.64+0.0132247d,+600.073+0.00279014d,+600.064+0.00244292d,+920.171+0.00427905d,+680.094+0.00316231d,+2681.46+0.0124784d,+760.117+0.00353452d,+800.13+0.00371996d,+720.105+0.0033478d,+760.117+0.00353387d,+720.105+0.0033478d,+1680.57+0.00781609d,+1480.44+0.00688476d,+1880.72+0.00874764d,+1200.29+0.00558129d,+680.094+0.00316471d,+2080.88+0.00968853d,+1720.6+0.00800992d,+1800.66+0.00838288d,+1040.22+0.0048412d,+2321.09+0.010808d,+2361.13+0.0109946d
2021-01-06 02:15:00 UTC,+90752.1+416.056j,+9535.71+17.9654j,+9774.29+17.9888j,+18209.7+62.4838j,+36650.5+256.76j,+16581+59.7101j,+1000.2+0.00466466d,+3642.7+0.0170068d,+720.105+0.00335798d,+560.064+0.00261151d,+960.187+0.00447797d,+920.172+0.00429128d,+920.158+0.00393434d,+800.13+0.00373128d,+720.105+0.00335813d,+1040.22+0.00485158d,+840.143+0.00391811d,+720.105+0.00335813d,+2040.85+0.00952237d,+1560.49+0.00727968d,+1840.69+0.00858776d,+1000.2+0.00466487d,+680.094+0.00317641d,+3041.88+0.0142209d,+1720.6+0.00803956d,+1760.63+0.00822673d,+2200.99+0.0102862d,+2281.06+0.0106607d,+4043.33+0.0189105d
