# file...... Meter_652A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 00:00:00 UTC,1.2849e+05,2.3202e+04,1.9429e+04,2.5014e+04,4.5270e+04,1.5574e+04,1.0802e+03,4.2838e+03,1.0002e+03,4.0834e+03,2.2010e+03,3.8831e+03,3.1621e+03,3.4424e+03,1.0402e+03,9.2017e+02,1.3604e+03,6.8009e+02,2.2811e+03,2.4012e+03,7.8125e+03,2.8817e+03,4.8448e+03,1.8807e+03,2.7616e+03
2021-01-06 00:15:00 UTC,9.9366e+04,2.1631e+04,1.4191e+04,2.2078e+04,3.3051e+04,8.4141e+03,1.1603e+03,2.7215e+03,2.1209e+03,2.6414e+03,1.0002e+03,3.6828e+03,3.3623e+03,4.8849e+03,1.6005e+03,1.7606e+03,1.4404e+03,8.8016e+02,2.0408e+03,1.9208e+03,3.5626e+03,9.6019e+02,1.0802e+03,1.8407e+03,2.9217e+03
2021-01-06 00:30:00 UTC,9.6665e+04,1.7808e+04,1.3266e+04,2.1799e+04,3.0352e+04,1.3439e+04,1.1603e+03,2.8016e+03,1.1203e+03,1.2003e+03,1.6806e+03,3.2021e+03,3.2822e+03,3.3223e+03,1.5605e+03,1.3204e+03,1.4804e+03,9.6019e+02,1.8407e+03,2.9618e+03,1.8407e+03,1.2803e+03,1.0802e+03,1.7606e+03,2.7616e+03
2021-01-06 00:45:00 UTC,8.9308e+04,1.7647e+04,1.1138e+04,2.2683e+04,3.0068e+04,7.7714e+03,1.4004e+03,2.7616e+03,8.8016e+02,1.4404e+03,1.2403e+03,3.1220e+03,3.6026e+03,3.1620e+03,1.0402e+03,1.2003e+03,1.9208e+03,8.0013e+02,1.9608e+03,1.2403e+03,1.8407e+03,1.1203e+03,2.7215e+03,1.8807e+03,2.6414e+03
2021-01-06 01:00:00 UTC,1.2198e+05,1.6722e+04,1.4391e+04,2.4294e+04,3.7545e+04,2.9023e+04,1.8807e+03,2.8016e+03,1.0002e+03,1.3604e+03,1.0802e+03,1.9608e+03,3.4825e+03,3.1220e+03,2.7616e+03,1.0002e+03,2.4012e+03,8.8016e+02,2.8417e+03,1.7606e+03,1.8407e+03,8.8016e+02,1.4004e+03,1.9608e+03,2.2410e+03
2021-01-06 01:15:00 UTC,1.3335e+05,1.2664e+04,1.1861e+04,2.2203e+04,6.3090e+04,2.3532e+04,1.2003e+03,2.8016e+03,9.2017e+02,1.9207e+03,2.4012e+03,8.8016e+02,1.0002e+03,1.5205e+03,2.4813e+03,6.4008e+02,1.6406e+03,7.2011e+02,2.0008e+03,1.5205e+03,2.0008e+03,8.4014e+02,4.0003e+02,1.7206e+03,3.1220e+03
2021-01-06 01:30:00 UTC,8.1927e+04,1.0416e+04,1.0457e+04,1.4592e+04,2.5019e+04,2.1442e+04,1.0802e+03,2.6815e+03,6.4008e+02,1.0002e+03,1.1603e+03,1.6005e+03,1.2403e+03,1.0002e+03,6.8009e+02,8.0013e+02,1.0402e+03,8.4014e+02,1.9207e+03,1.0002e+03,1.9608e+03,2.2010e+03,2.0001e+02,1.9207e+03,1.7606e+03
2021-01-06 01:45:00 UTC,8.8033e+04,1.4395e+04,1.1261e+04,1.4271e+04,3.5640e+04,1.2467e+04,1.1203e+03,2.9618e+03,7.2011e+02,1.3204e+03,1.2003e+03,8.4014e+02,4.6845e+03,1.5205e+03,8.4014e+02,8.8016e+02,7.6012e+02,6.8009e+02,1.9608e+03,1.5205e+03,3.6026e+03,1.0002e+03,2.4001e+02,1.8807e+03,1.8007e+03
2021-01-06 02:00:00 UTC,8.4606e+04,1.0257e+04,9.2527e+03,1.4390e+04,3.6462e+04,1.4243e+04,1.1603e+03,2.8416e+03,6.0007e+02,6.0006e+02,9.2017e+02,6.8009e+02,2.6815e+03,7.6012e+02,8.0013e+02,7.2011e+02,7.6012e+02,7.2011e+02,1.6806e+03,1.4804e+03,1.8807e+03,1.2003e+03,6.8009e+02,2.0809e+03,1.7206e+03
2021-01-06 02:15:00 UTC,9.0752e+04,9.5357e+03,9.7743e+03,1.8210e+04,3.6651e+04,1.6581e+04,1.0002e+03,3.6427e+03,7.2011e+02,5.6006e+02,9.6019e+02,9.2017e+02,9.2016e+02,8.0013e+02,7.2011e+02,1.0402e+03,8.4014e+02,7.2011e+02,2.0408e+03,1.5605e+03,1.8407e+03,1.0002e+03,6.8009e+02,3.0419e+03,1.7206e+03
