# file...... Meter_684_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power,xfmr_meter_684_C_1:measured_power,xfmr_meter_684_C_2:measured_power,xfmr_meter_684_C_3:measured_power,xfmr_meter_684_C_4:measured_power,xfmr_meter_684_C_5:measured_power,house_meter_684_C_1:measured_power,house_meter_684_C_2:measured_power,house_meter_684_C_3:measured_power,house_meter_684_C_4:measured_power,house_meter_684_C_5:measured_power,house_meter_684_C_6:measured_power,house_meter_684_C_7:measured_power,house_meter_684_C_8:measured_power,house_meter_684_C_9:measured_power,house_meter_684_C_10:measured_power,house_meter_684_C_11:measured_power,house_meter_684_C_12:measured_power,house_meter_684_C_13:measured_power,house_meter_684_C_14:measured_power,house_meter_684_C_15:measured_power,house_meter_684_C_16:measured_power,house_meter_684_C_17:measured_power,house_meter_684_C_18:measured_power,house_meter_684_C_19:measured_power,house_meter_684_C_20:measured_power,house_meter_684_C_21:measured_power,house_meter_684_C_22:measured_power,house_meter_684_C_23:measured_power
2021-01-06 00:00:00 UTC,+60690.8+157.169j,+12305.8+30.2353j,+9095.26+16.9871j,+7530.89+11.8169j,+15960.7+49.7731j,+15797.9+47.993j,+2160.97+0.0103326d,+2681.5+0.0128242d,+3282.24+0.0157012d,+2080.9+0.0099494d,+560.065+0.00267614d,+440.04+0.00210252d,+480.048+0.00229372d,+600.075+0.00286736d,+720.108+0.00343902d,+1000.21+0.00477725d,+3642.76+0.0174179d,+520.056+0.00248342d,+600.075+0.00286563d,+1600.4+0.00569645d,+520.056+0.00248342d,+480.048+0.00229233d,+600.075+0.00286479d,+480.048+0.00229166d,+320.021+0.00152762d,+3361.78+0.0121342d,+1520.48+0.00726165d,+560.065+0.00267374d,+400.033+0.00190962d
2021-01-06 00:15:00 UTC,+62140.8+170.869j,+16166.9+53.0538j,+7489.21+11.0469j,+6526.51+8.1931j,+16160.8+50.6068j,+15797+47.5707j,+2080.9+0.00993411d,+5486.27+0.0262283d,+3522.58+0.0168267d,+2080.9+0.00993411d,+360.027+0.00171752d,+1560.51+0.00744816d,+560.065+0.00267203d,+480.048+0.0022902d,+720.108+0.00343021d,+1040.22+0.00495574d,+2201.01+0.0104909d,+400.033+0.00190529d,+520.056+0.00247707d,+1640.4+0.00560382d,+480.048+0.00228647d,+480.048+0.00228647d,+760.12+0.00362022d,+560.065+0.0026672d,+400.033+0.00190495d,+1880.39+0.00482282d,+1040.22+0.00495485d,+880.161+0.00419215d,+400.033+0.00190495d
2021-01-06 00:30:00 UTC,+57851.5+157.536j,+17293.1+60.4458j,+5765.17+6.42347j,+5204.17+5.2154j,+13751.4+37.333j,+15837.2+47.7538j,+2040.86+0.00972779d,+3843.07+0.0183317d,+5606.54+0.0267633d,+2561.36+0.0122114d,+520.056+0.00247729d,+1920.77+0.00915489d,+360.027+0.00171487d,+400.033+0.00190546d,+440.04+0.00209154d,+1160.28+0.00551652d,+440.04+0.00209154d,+520.056+0.00247194d,+440.04+0.00209154d,+1560.37+0.00548846d,+680.096+0.00323286d,+520.056+0.00247194d,+400.033+0.00190115d,+320.021+0.00152085d,+960.191+0.00456435d,+560.065+0.00266188d,+1000.21+0.00475465d,+280.016+0.00133071d,+920.175+0.00437406d
2021-01-06 00:45:00 UTC,+63320.7+190.894j,+18864.6+72.4735j,+5965.6+6.9002j,+5885.72+6.82333j,+14434.8+41.2126j,+18169.5+63.0454j,+5365.99+0.0256089d,+2841.68+0.0135475d,+5486.26+0.0261842d,+2801.63+0.0133564d,+680.096+0.0032394d,+400.033+0.0019052d,+600.075+0.00285816d,+640.085+0.00304878d,+560.065+0.0026611d,+1120.26+0.00532406d,+600.075+0.00285125d,+480.048+0.00228083d,+600.075+0.00285125d,+1760.47+0.00613007d,+440.04+0.00209071d,+400.033+0.0019006d,+400.033+0.00190057d,+440.04+0.00209068d,+440.04+0.00209068d,+1120.26+0.00532398d,+1720.61+0.00817916d,+1000.21+0.0047532d,+400.033+0.00190057d
2021-01-06 01:00:00 UTC,+57569.5+158.437j,+14113.7+39.6182j,+5925.45+6.78643j,+4162.65+3.33497j,+15519.9+47.5758j,+17847.4+60.7512j,+2401.2+0.0114559d,+3322.29+0.0158564d,+3322.29+0.0158564d,+2721.54+0.0129859d,+560.065+0.00266997d,+640.085+0.00305155d,+600.075+0.00286075d,+520.056+0.0024792d,+680.096+0.00323737d,+1120.26+0.0053336d,+600.075+0.00285636d,+400.033+0.00190401d,+520.056+0.00247539d,+1640.4+0.00560002d,+440.04+0.00209446d,+520.056+0.00247539d,+600.075+0.00285542d,+480.048+0.00228417d,+320.021+0.00152263d,+480.048+0.00228417d,+1040.22+0.00495075d,+440.04+0.00209377d,+360.027+0.001713d
2021-01-06 01:15:00 UTC,+55965.2+147.693j,+16249.7+54.5387j,+5765.17+6.43028j,+5083.99+4.98954j,+13390+35.5218j,+15476.1+45.8735j,+2160.97+0.0103192d,+3482.52+0.0166391d,+2841.68+0.0135736d,+5887.22+0.0281566d,+440.04+0.0020998d,+480.048+0.00229075d,+400.033+0.00190886d,+520.056+0.0024817d,+560.065+0.00266741d,+1160.28+0.00552742d,+440.04+0.00209567d,+520.056+0.00247682d,+480.048+0.00228624d,+1560.37+0.00549931d,+520.056+0.00247682d,+520.056+0.00247682d,+640.085+0.00304824d,+280.016+0.0013333d,+320.021+0.00152381d,+400.033+0.00190486d,+920.176+0.0043826d,+560.065+0.00266707d,+1000.21+0.00476394d
2021-01-06 01:30:00 UTC,+55844.1+146.054j,+16289.4+54.4464j,+5524.75+5.89034j,+5565.19+6.12636j,+12827.8+32.6314j,+15636.7+46.6253j,+2040.86+0.00970283d,+4203.66+0.0200033d,+5726.8+0.0272685d,+2000.83+0.00951234d,+640.085+0.00304138d,+560.065+0.00266107d,+480.048+0.0022808d,+600.075+0.00285122d,+440.04+0.00208648d,+1000.21+0.00474365d,+400.033+0.00189675d,+480.048+0.00227622d,+680.096+0.00322504d,+1600.38+0.00540008d,+520.056+0.00246596d,+400.033+0.00189675d,+400.033+0.00189677d,+360.027+0.00170705d,+800.132+0.00379448d,+800.132+0.00379448d,+1800.67+0.00854288d,+800.132+0.00379448d,+360.027+0.00170705d
2021-01-06 01:45:00 UTC,+58936.5+161.844j,+15444.9+49.2104j,+5765.09+6.38809j,+5966.24+7.15858j,+14193.9+39.9318j,+17566+58.7831j,+2080.9+0.00990851d,+6007.5+0.0286523d,+3041.92+0.0144903d,+2000.83+0.00952694d,+560.065+0.00266515d,+640.085+0.00304604d,+560.065+0.00266515d,+520.056+0.00247472d,+560.065+0.00266033d,+1000.21+0.00475188d,+640.085+0.00304052d,+480.048+0.00228017d,+520.056+0.00247024d,+1560.37+0.00548468d,+400.033+0.00190004d,+600.075+0.00285042d,+440.04+0.00209018d,+360.027+0.00171006d,+520.056+0.00247033d,+720.107+0.00342089d,+920.175+0.00437168d,+200.008+0.000949939d,+2320.91+0.00898694d
2021-01-06 02:00:00 UTC,+60944.8+167.625j,+15528.9+51.1613j,+6085.67+7.12258j,+8572.85+14.7731j,+13110.6+34.7833j,+17646.5+59.4036j,+2080.9+0.00991952d,+2681.49+0.0127857d,+6849.76+0.0327173d,+2120.93+0.0101105d,+440.04+0.00209621d,+520.056+0.00247747d,+360.027+0.001715d,+440.04+0.00209621d,+400.033+0.00190223d,+1160.28+0.00551908d,+720.107+0.0034247d,+680.096+0.00323436d,+400.033+0.00190223d,+1560.36+0.00523714d,+560.065+0.00266339d,+600.075+0.0028537d,+880.161+0.00418811d,+240.012+0.00114176d,+360.027+0.00171276d,+360.027+0.00171276d,+960.191+0.00456907d,+1120.26+0.00533111d,+3601.54+0.00980342d
2021-01-06 02:15:00 UTC,+55476.6+142.322j,+12586.6+31.3926j,+5484.69+5.81444j,+6207.12+7.89535j,+12827.7+32.6148j,+18370.2+64.2727j,+3001.87+0.0142941d,+2761.58+0.0131486d,+2601.4+0.0123851d,+2040.86+0.00971418d,+680.096+0.00323532d,+440.04+0.00209313d,+440.04+0.00209313d,+600.075+0.00285455d,+400.033+0.00190027d,+960.191+0.00456224d,+480.048+0.00228044d,+480.048+0.00228044d,+760.12+0.00361132d,+1560.37+0.00548534d,+440.04+0.00209035d,+400.033+0.00190027d,+440.04+0.00209063d,+440.04+0.00209063d,+320.021+0.00152035d,+400.033+0.00190053d,+1680.58+0.00798857d,+320.021+0.00152035d,+2400.86+0.00824543d
2021-01-06 02:30:00 UTC,+56243.2+148.31j,+14758.7+44.0044j,+5765.16+6.41344j,+5364.4+5.5254j,+12506.7+31.1405j,+17848+60.883j,+4844.87+0.0230863d,+2641.45+0.0125752d,+2921.77+0.0139114d,+2120.93+0.010095d,+600.075+0.00285438d,+520.056+0.00247368d,+640.085+0.00304475d,+440.04+0.00209301d,+680.096+0.00322969d,+1040.22+0.00494062d,+520.056+0.00246952d,+360.027+0.0017095d,+520.056+0.00246952d,+1640.4+0.00558672d,+520.056+0.00246952d,+480.048+0.0022795d,+360.027+0.00170937d,+240.012+0.0011395d,+520.056+0.00246933d,+1040.22+0.00494025d,+1000.21+0.00475013d,+640.085+0.0030394d,+1120.17+0.00352879d
