# file...... Meter_684_C_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power.real,xfmr_meter_684_C_1:measured_power.real,xfmr_meter_684_C_2:measured_power.real,xfmr_meter_684_C_3:measured_power.real,xfmr_meter_684_C_4:measured_power.real,xfmr_meter_684_C_5:measured_power.real,house_meter_684_C_1:measured_power.real,house_meter_684_C_2:measured_power.real,house_meter_684_C_3:measured_power.real,house_meter_684_C_4:measured_power.real,house_meter_684_C_5:measured_power.real,house_meter_684_C_6:measured_power.real,house_meter_684_C_7:measured_power.real,house_meter_684_C_8:measured_power.real,house_meter_684_C_9:measured_power.real,house_meter_684_C_10:measured_power.real,house_meter_684_C_11:measured_power.real,house_meter_684_C_12:measured_power.real,house_meter_684_C_13:measured_power.real,house_meter_684_C_14:measured_power.real,house_meter_684_C_15:measured_power.real,house_meter_684_C_16:measured_power.real,house_meter_684_C_17:measured_power.real,house_meter_684_C_18:measured_power.real,house_meter_684_C_19:measured_power.real
2021-01-06 00:00:00 UTC,6.0691e+04,1.2306e+04,9.0953e+03,7.5309e+03,1.5961e+04,1.5798e+04,2.1610e+03,2.6815e+03,3.2822e+03,2.0809e+03,5.6007e+02,4.4004e+02,4.8005e+02,6.0007e+02,7.2011e+02,1.0002e+03,3.6428e+03,5.2006e+02,6.0007e+02,1.6004e+03,5.2006e+02,4.8005e+02,6.0007e+02,4.8005e+02,3.2002e+02
2021-01-06 00:15:00 UTC,6.2141e+04,1.6167e+04,7.4892e+03,6.5265e+03,1.6161e+04,1.5797e+04,2.0809e+03,5.4863e+03,3.5226e+03,2.0809e+03,3.6003e+02,1.5605e+03,5.6007e+02,4.8005e+02,7.2011e+02,1.0402e+03,2.2010e+03,4.0003e+02,5.2006e+02,1.6404e+03,4.8005e+02,4.8005e+02,7.6012e+02,5.6007e+02,4.0003e+02
2021-01-06 00:30:00 UTC,5.7851e+04,1.7293e+04,5.7652e+03,5.2042e+03,1.3751e+04,1.5837e+04,2.0409e+03,3.8431e+03,5.6065e+03,2.5614e+03,5.2006e+02,1.9208e+03,3.6003e+02,4.0003e+02,4.4004e+02,1.1603e+03,4.4004e+02,5.2006e+02,4.4004e+02,1.5604e+03,6.8010e+02,5.2006e+02,4.0003e+02,3.2002e+02,9.6019e+02
2021-01-06 00:45:00 UTC,6.3321e+04,1.8865e+04,5.9656e+03,5.8857e+03,1.4435e+04,1.8170e+04,5.3660e+03,2.8417e+03,5.4863e+03,2.8016e+03,6.8010e+02,4.0003e+02,6.0007e+02,6.4008e+02,5.6006e+02,1.1203e+03,6.0007e+02,4.8005e+02,6.0007e+02,1.7605e+03,4.4004e+02,4.0003e+02,4.0003e+02,4.4004e+02,4.4004e+02
2021-01-06 01:00:00 UTC,5.7569e+04,1.4114e+04,5.9254e+03,4.1627e+03,1.5520e+04,1.7847e+04,2.4012e+03,3.3223e+03,3.3223e+03,2.7215e+03,5.6007e+02,6.4009e+02,6.0007e+02,5.2006e+02,6.8010e+02,1.1203e+03,6.0007e+02,4.0003e+02,5.2006e+02,1.6404e+03,4.4004e+02,5.2006e+02,6.0007e+02,4.8005e+02,3.2002e+02
2021-01-06 01:15:00 UTC,5.5965e+04,1.6250e+04,5.7652e+03,5.0840e+03,1.3390e+04,1.5476e+04,2.1610e+03,3.4825e+03,2.8417e+03,5.8872e+03,4.4004e+02,4.8005e+02,4.0003e+02,5.2006e+02,5.6007e+02,1.1603e+03,4.4004e+02,5.2006e+02,4.8005e+02,1.5604e+03,5.2006e+02,5.2006e+02,6.4008e+02,2.8002e+02,3.2002e+02
2021-01-06 01:30:00 UTC,5.5844e+04,1.6289e+04,5.5248e+03,5.5652e+03,1.2828e+04,1.5637e+04,2.0409e+03,4.2037e+03,5.7268e+03,2.0008e+03,6.4008e+02,5.6006e+02,4.8005e+02,6.0007e+02,4.4004e+02,1.0002e+03,4.0003e+02,4.8005e+02,6.8010e+02,1.6004e+03,5.2006e+02,4.0003e+02,4.0003e+02,3.6003e+02,8.0013e+02
2021-01-06 01:45:00 UTC,5.8936e+04,1.5445e+04,5.7651e+03,5.9662e+03,1.4194e+04,1.7566e+04,2.0809e+03,6.0075e+03,3.0419e+03,2.0008e+03,5.6007e+02,6.4008e+02,5.6007e+02,5.2006e+02,5.6006e+02,1.0002e+03,6.4008e+02,4.8005e+02,5.2006e+02,1.5604e+03,4.0003e+02,6.0007e+02,4.4004e+02,3.6003e+02,5.2006e+02
2021-01-06 02:00:00 UTC,6.0945e+04,1.5529e+04,6.0857e+03,8.5728e+03,1.3111e+04,1.7646e+04,2.0809e+03,2.6815e+03,6.8498e+03,2.1209e+03,4.4004e+02,5.2006e+02,3.6003e+02,4.4004e+02,4.0003e+02,1.1603e+03,7.2011e+02,6.8010e+02,4.0003e+02,1.5604e+03,5.6006e+02,6.0007e+02,8.8016e+02,2.4001e+02,3.6003e+02
2021-01-06 02:15:00 UTC,5.5477e+04,1.2587e+04,5.4847e+03,6.2071e+03,1.2828e+04,1.8370e+04,3.0019e+03,2.7616e+03,2.6014e+03,2.0409e+03,6.8010e+02,4.4004e+02,4.4004e+02,6.0007e+02,4.0003e+02,9.6019e+02,4.8005e+02,4.8005e+02,7.6012e+02,1.5604e+03,4.4004e+02,4.0003e+02,4.4004e+02,4.4004e+02,3.2002e+02
2021-01-06 02:30:00 UTC,5.6243e+04,1.4759e+04,5.7652e+03,5.3644e+03,1.2507e+04,1.7848e+04,4.8449e+03,2.6414e+03,2.9218e+03,2.1209e+03,6.0007e+02,5.2006e+02,6.4008e+02,4.4004e+02,6.8010e+02,1.0402e+03,5.2006e+02,3.6003e+02,5.2006e+02,1.6404e+03,5.2006e+02,4.8005e+02,3.6003e+02,2.4001e+02,5.2006e+02
2021-01-06 02:45:00 UTC,5.9337e+04,1.5685e+04,6.4464e+03,5.9253e+03,1.3472e+04,1.7808e+04,2.0809e+03,3.0019e+03,2.8417e+03,5.6466e+03,4.0003e+02,6.0007e+02,5.2006e+02,5.6007e+02,5.2006e+02,1.3204e+03,5.6006e+02,6.0007e+02,6.4008e+02,1.6004e+03,6.4008e+02,5.6006e+02,5.2006e+02,3.6003e+02,9.2018e+02
2021-01-06 03:00:00 UTC,5.9916e+04,1.7544e+04,5.7252e+03,4.8441e+03,1.3510e+04,1.8292e+04,2.1209e+03,7.9732e+03,3.3623e+03,2.0809e+03,4.0003e+02,4.0003e+02,4.8005e+02,6.8010e+02,4.4004e+02,1.0402e+03,5.6006e+02,4.0003e+02,6.8010e+02,1.7204e+03,5.2006e+02,3.6003e+02,1.1603e+03,4.8005e+02,2.8002e+02
